Sample_ID,unmbiguous,Species,Clade,Treatment,Disease_status,Top_symbiont
UVI_71,0.06173,CNAT,A,Control,HH,B
UVI_71,4.84218,CNAT,B,Control,HH,B
UVI_71,0.27602,CNAT,C,Control,HH,B
UVI_71,0.09958,CNAT,D,Control,HH,B
UVI_71,60.0837,CNAT,HOST,Control,HH,B
UVI_71,34.63679,CNAT,UNMATCHED,Control,HH,B
UVI_72,0.05307,CNAT,A,WP,LD,B
UVI_72,4.54299,CNAT,B,WP,LD,B
UVI_72,0.23383,CNAT,C,WP,LD,B
UVI_72,0.06783,CNAT,D,WP,LD,B
UVI_72,61.06439,CNAT,HOST,WP,LD,B
UVI_72,34.03789,CNAT,UNMATCHED,WP,LD,B
UVI_73,0.08867,CNAT,A,Control,HH,C
UVI_73,0.45131,CNAT,B,Control,HH,C
UVI_73,3.01432,CNAT,C,Control,HH,C
UVI_73,0.2287,CNAT,D,Control,HH,C
UVI_73,61.02717,CNAT,HOST,Control,HH,C
UVI_73,35.18983,CNAT,UNMATCHED,Control,HH,C
UVI_75,0.06291,CNAT,A,Control,HH,B
UVI_75,10.46846,CNAT,B,Control,HH,B
UVI_75,0.5428,CNAT,C,Control,HH,B
UVI_75,0.11,CNAT,D,Control,HH,B
UVI_75,51.21186,CNAT,HOST,Control,HH,B
UVI_75,37.60397,CNAT,UNMATCHED,Control,HH,B
UVI_76,0.12844,CNAT,A,WP,LD,B
UVI_76,17.69532,CNAT,B,WP,LD,B
UVI_76,3.6745,CNAT,C,WP,LD,B
UVI_76,0.1922,CNAT,D,WP,LD,B
UVI_76,45.3261,CNAT,HOST,WP,LD,B
UVI_76,32.98344,CNAT,UNMATCHED,WP,LD,B
UVI_77,0.10047,CNAT,A,Control,HH,C
UVI_77,1.41402,CNAT,B,Control,HH,C
UVI_77,6.41716,CNAT,C,Control,HH,C
UVI_77,0.24986,CNAT,D,Control,HH,C
UVI_77,57.3534,CNAT,HOST,Control,HH,C
UVI_77,34.46509,CNAT,UNMATCHED,Control,HH,C
UVI_78,0.08471,CNAT,A,WP,LD,B
UVI_78,5.13501,CNAT,B,WP,LD,B
