"","pvalue"
"Q8VHE6",0.000234143539575356
"Q18812",0.000650959296218596
"Q9JK82",0.00229274067881039
"Q9F7P4",0.00458000539247674
"Q7RBT0",0.0049459562548633
"D9HP19",0.00552508085026587
"Q90YS0",0.00562102298302725
"Q9SKC1",0.00596024476394185
"Q91896",0.00811038860253195
"Q9DG39",0.0082079769767196
"P83205",0.00829554482373546
"Q04462",0.00849599963068741
"P32321",0.00867583538648547
"Q9STL4",0.0110998259427322
"Q9LSQ5",0.0121843534908687
"Q9ZU75",0.0166411003942741
"Q9LT78",0.0180493125490585
"Q5UP50",0.016294249297056
"A5GFW1",0.020001909729529
"A0JM51",0.0218515660814037
"Q9T0D6",0.03437001192121
"A0JNA8",0.0507409750497592
"Q8FY85",0.0573379630096164
"Q9R1T3",0.0581148377289128
"Q94HF1",0.0606873074414539
"P48495",0.0631087981477378
"Q9ZVX5",0.0656878116191513
"P30191",0.0781414017796017
"Q84L09",0.0781452621389441
"Q08587",0.0781484005496994
"Q6N069",0.078148907236626
"A8A9H3",0.0781531683642712
"P74306",0.0781562936334345
"Q8C7E9",0.0781601842431493
"P39023",0.0781612211342878
"B7E7M8",0.078161346300069
"O17071",0.0781633876436526
"Q9JMB7",0.0781639859792389
"O95801",0.0781677943165542
"Q2YDI7",0.0781689068264181
"Q02TT1",0.0781709947954726
"B4FHY0",0.0781804747722647
"B6SZW0",0.0781826609058874
"Q5JGK6",0.0781900979698407
"Q5AFH3",0.0781901567098094
"Q8BIQ5",0.0781917043245769
"Q8NWM8",0.0781962005625625
"O81852",0.078196649803365
"P12794",0.0781996846977933
"O43395",0.078200609189993
"Q9SLA8",0.0782012180300188
"P00171",0.078206318664503
"Q9P792",0.078210738522913
"Q87YQ1",0.0782134685536355
"P07237",0.0782155524151192
"Q8WV93",0.0782164907478282
"Q5R9Z6",0.0782214274349972
"Q4G1G8",0.078225017554198
"Q8BWR4",0.0782258529373971
"P69326",0.0782260192034252
"Q5XIP9",0.0782275897156913
"B2XTU9",0.0782318906074731
"O82390",0.0782333128350404
"Q1XDP4",0.0782333734690823
"Q6CW22",0.0782404974229765
"A8WIP6",0.078241573204678
"Q6VVW5",0.0782449541636101
"P30181",0.0782472932400482
"Q6AY71",0.0782523147846318
"P13803",0.0782536843724622
"Q8H1Q1",0.0782565518367874
"Q9Y2J0",0.0782631159944747
"A8AJF8",0.0782642632055416
"F1SYI9",0.0782649099072659
"B9DMT8",0.0782759891042127
"A7HQX9",0.0782836152677609
"Q9S845",0.0782887458524452
"A8ISN6",0.0782936962048492
"P54276",0.0782940814886383
"Q06396",0.0782985999299089
"Q9SBN3",0.0783016283648462
"O44017",0.0783032836593257
"O33529",0.078305480245096
"Q8VBY2",0.0783056652684542
"P36514",0.0783074357379287
"Q8X8J3",0.0783075716821269
"Q9NXL9",0.0783143294720129
"D4ABL6",0.0783149642363105
"Q7ZVQ8",0.0783178100851358
"Q5XIA0",0.0783342581066719
"Q5Z9E2",0.0783343831108905
"F4I1L3",0.0783438388017953
"O43290",0.0783465363436285
"Q5AEN1",0.078347478057106
"Q5F457",0.0783495777930613
"Q7U3C4",0.0783504645722249
"Q6NX27",0.0783550177355383
"P53619",0.0783554430809764
"A0A383ZFX3",0.0783556995579652
"F1QX91",0.0783573193998142
