Entry,M_d1_A,M_d3_A,M_d6_A,O_d1_A,O_d3_A,O_d6_A,O_d7_A,O_d8_A,Past_d1_A,Past_d2_A,Past_d3_A,Past_d6_A,Past_d7_A,Pstr_d7_A
A0A023I7E1,0,0,0,0,0,0,0,0,409.998,315.626,11,62,46,0
A0A024SH76,0,0,0,0,0,0,0,0,976,545,273,395,40,0
A0A067XMP1,0,0,0,2,0,0,0,0,369,352,156,50,62,0
A0A068FIK2,0,0,0,0,0,0,0,0,193,251,114,23,12,0
A0A078IS66,0,0,0,0,0,0,0,0,6,28.336,5,0,0,0
A0A078ISJ6,0,0,0,0,0,0,0,0,337,372,100,123,43,0
A0A084AFG6,0,0,0,0,0,0,0,0,30,26,4,3,1,0
A0A084R1K2,0,0,0,0,0,0,0,0,24,25,13,0,7,0
A0A089QRB9,0,0,0,0,0,0,0,0,320,376,127,169,36,0
A0A095C325,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A096X8J7,0,0,0,0,0,0,0,0,239.662,284.563,143.524,46.116,11,0
A0A0A0RM07,0,0,1,0,0,0,0,0,33,121,39,7,3,0
A0A0B5RUB0,0,0,0,0,0,0,0,0,576.377,354.894,208.633,174.779,36.245,0
A0A0B6VQ48,0,0,0,0,0,0,0,0,103,187,72,10,26,0
A0A0C3VJP4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0D3QS99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0E0SMA3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0G2JEB6,0,0,0,0,0,0,0,0,745.974,512,130,121,0,0
A0A0G2K1Q8,0,0,0,0,0,0,0,0,288,178,105,68,2,0
A0A0H2VBH0,0,0,0,0,0,0,0,0,53.591,54,32,4,5,0
A0A0H2VDN9,0,0,0,0,0,0,0,0,107,152,82,23,45,0
A0A0H3K6J4,0,0,0,0,0,0,0,0,23,45,17,3,5,0
A0A0H3LKL4,0,0,0,0,0,0,0,0,1054,864,320,522,86,0
A0A0I9QGZ2,0,0,0,0,0,0,0,0,398,329,139,77,24,0
A0A0L0P4F8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0M3R8G1,0,0,0,0,0,0,0,0,26,42,22,0,3,0
A0A0M5K865,0,0,0,0,0,0,0,0,312.307,546.81,146,124.166,79.32,0
A0A0P0VG31,0,0,0,0,0,0,0,0,67,83,19,6,8,0
A0A0P0WGX7,0,0,0,0,0,0,0,0,474,486,183,90,49,0
A0A0P0X004,0,0,0,0,0,0,0,0,64,34,13,0,3,0
A0A0P0XB70,0,0,0,0,0,0,0,0,7,8,5,0,0,0
A0A0P6JG37,0,0,0,0,0,0,0,0,151,132,57,37,14,0
A0A0R4I9Y1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0R4IBK5,0,0,0,0,0,0,0,0,546.108,436.706,178.739,122.778,38.062,0
A0A0R4IF99,0,0,4,0,0,0,0,0,36.372,24.259,23.688,0,7.764,0
A0A0R4IKJ1,0,0,0,0,0,0,0,0,545,627,263,148,63,0
A0A0R4IMY7,0,0,0,0,0,0,0,0,208,113,51,46,7,0
A0A0R4IQZ2,0,0,0,0,0,0,0,0,144,139,58,142,27,0
A0A0U5CNP2,0,0,0,0,0,0,0,0,3,9.664,0,0,1,0
A0A125YHX7,0,0,0,0,0,0,0,0,832,688,337,220,52,0
A0A125YS36,0,0,0,0,0,0,0,0,898,855,357,468,86,0
A0A125YZN2,0,0,0,0,0,0,0,0,827,914,416,385,136,0
A0A140H545,0,0,0,0,0,0,0,0,7,3,5,0,0,0
A0A140JWS7,0,0,0,0,0,0,0,0,41,69,34,3,9,0
A0A140LI88,0,0,0,0,0,0,0,0,205,66,14,33,4,0
A0A166YZY9,0,0,0,0,0,0,0,0,212,123,31,36,9,0
