Entry,UVI_092_A,UVI_094_A,UVI_096_A,UVI_100_A,UVI_102_A,UVI_104_A,UVI_106_A,UVI_108_A,USVI_118_A,UVI_132_A,UVI_136_A,UVI_138_A
A0A023I7E1,0,0,0,0,0,0,0,0,147,0,0,0
A0A024SH76,0,0,0,0,0,0,0,0,204,3,0,0
A0A067XMP1,0,0,0,0,0,0,0,0,173,0,0,0
A0A068FIK2,0,0,0,0,0,0,0,0,26,0,0,0
A0A078IS66,0,0,0,0,0,0,0,0,3,0,0,0
A0A078ISJ6,0,0,0,0,0,0,0,0,156,0,0,0
A0A084AFG6,0,0,0,0,0,0,0,0,4,0,0,0
A0A084R1K2,0,0,0,0,0,0,0,0,3,0,0,0
A0A089QRB9,0,0,0,0,0,0,0,0,101,0,0,0
A0A095C325,0,0,0,0,0,0,0,0,0,0,0,0
A0A096X8J7,0,0,0,0,0,0,0,0,46.847,0,0,0
A0A0A0RM07,0,0,0,0,0,0,0,0,13,0,0,0
A0A0B5RUB0,0,0,0,0,0,0,0,0,138.646,0,0,0
A0A0B6VQ48,0,0,0,0,0,0,0,0,50,0,0,0
A0A0C3VJP4,0,0,0,0,0,0,0,0,0,0,0,0
A0A0D3QS99,0,0,0,0,0,0,0,0,0,0,0,0
A0A0E0SMA3,0,0,0,0,0,0,0,0,0,0,0,0
A0A0G2JEB6,0,0,0,0,0,0,0,0,146,0,0,0
A0A0G2K1Q8,0,0,0,0,0,0,0,0,36,0,0,0
A0A0H2VBH0,0,0,0,0,0,0,0,0,7,0,0,0
A0A0H2VDN9,0,0,0,0,0,0,0,0,33,0,0,0
A0A0H3K6J4,0,0,0,0,0,0,0,0,13,0,0,0
A0A0H3LKL4,0,1,0,0,0,0,0,0,202,0,0,0
A0A0I9QGZ2,0,0,0,0,0,0,0,0,45,0,0,0
A0A0L0P4F8,0,0,0,0,0,0,0,0,0,0,0,0
A0A0M3R8G1,0,0,0,0,0,0,0,0,6,0,0,0
A0A0M5K865,0,0,0,0,0,0,0,0,117.782,0,0,0
A0A0P0VG31,0,0,0,0,0,0,0,0,11,0,0,0
A0A0P0WGX7,0,0,0,0,0,0,0,0,85,0,0,0
A0A0P0X004,0,0,0,0,0,0,0,0,6,0,0,0
A0A0P0XB70,0,0,0,0,0,0,0,0,0,0,0,0
A0A0P6JG37,0,0,0,0,0,0,0,0,29,0,0,0
A0A0R4I9Y1,0,0,0,0,0,0,0,0,2,0,0,0
A0A0R4IBK5,0,0,0,0,0,0,0,0,93.933,0,0,0
A0A0R4IF99,0,0,0,0,0,0,0,0,11,0,0,0
A0A0R4IKJ1,0,0,0,0,0,0,0,0,123,2,0,0
A0A0R4IMY7,0,0,0,0,0,0,0,0,34,1,0,0
A0A0R4IQZ2,0,0,0,0,0,0,0,0,53,0,0,0
A0A0U5CNP2,0,0,0,0,0,0,0,0,3,0,0,0
A0A125YHX7,0,0,0,0,0,0,0,0,168,0,0,0
A0A125YS36,0,0,0,0,0,0,0,0,187,0,0,0
A0A125YZN2,0,0,0,0,0,0,0,0,221,0,0,0
A0A140H545,0,0,0,0,0,0,0,0,1,0,0,0
A0A140JWS7,0,0,0,0,0,0,0,0,19,0,0,0
A0A140LI88,0,0,0,0,0,0,0,0,25,0,0,0
A0A166YZY9,0,0,0,0,0,0,0,0,49,0,0,0
A0A168WVR6,0,0,0,0,0,0,0,0,5,0,0,0
A0A1B0GWK0,0,0,0,0,0,0,0,0,23,0,0,0
A0A1B2CTA9,0,0,0,0,0,0,0,0,0,0,0,0
A0A1B3PEJ0,0,0,0,0,0,0,0,0,4,0,0,0
A0A1B4XBG9,0,0,0,0,0,0,0,0,73,0,0,0
A0A1C7D1B7,0,0,0,0,0,0,0,0,45,1,0,0
A0A1D5P556,0,0,0,0,0,0,0,0,15,0,0,0
A0A1D6IEG9,0,0,0,0,0,0,0,0,9,0,0,0
A0A1D6KL43,0,0,0,0,0,0,0,0,50,0,0,0
A0A1D8PFV1,0,0,0,0,0,0,1,0,476,0,0,0
