Entry,M_c1_A,M_c3_A,M_c5_A,M_c6_A,M_c7_A,M_c8_A,O_c1_A,O_c2_A,O_c3_A,O_c6_A,O_c7_A,O_c8_A,Past_c1_A,Past_c5_A,Past_c6_A,Past_c7_A,Pstr_c3_A,Pstr_c5_A,Pstr_c7_A,Pstr_c8_A,UVI_081_A,UVI_083_A,UVI_085_A,UVI_087_A,UVI_089_A,UVI_091_A,UVI_093_A,UVI_095_A,UVI_097_A,UVI_099_A,UVI_103_A,UVI_105_A,UVI_107_A,USVI_109_A,USVI_111_A,USVI_117_A,UVI_129_A,UVI_131_A,UVI_133_A,UVI_135_A,UVI_137_A
A0A023I7E1,1,0,0,0,0,0,0,0,0,1,0,0,452,119,50,17,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,18,87,0,0,0,0,0
A0A024SH76,0,0,0,0,0,0,0,0,0,1,0,0,756,257,272,36,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,74,13,102,0,0,0,0,0
A0A067XMP1,0,0,0,0,0,0,0,2,0,4,0,0,378,119,143,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,9,65,0,0,0,0,0
A0A068FIK2,0,0,0,0,0,0,0,0,0,0,0,0,243,91,135,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5,20,0,0,0,0,0
A0A078IS66,0,0,0,0,0,0,0,0,0,0,0,0,18,14,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0
A0A078ISJ6,0,0,1,0,0,0,0,0,0,2,0,0,400,115,177,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,8,69,0,0,0,0,0
A0A084AFG6,0,0,0,0,0,0,0,0,0,0,0,0,52,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0
A0A084R1K2,0,0,0,0,0,0,0,0,0,0,0,0,69,26,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0,0,0,0,0
A0A089QRB9,0,0,0,2,0,0,0,0,0,3,0,0,457,131,238,25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,43,15,56,0,0,0,0,0
A0A095C325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A096X8J7,0,0,0,0,0,0,0,0,0,0,0,0,201.53,86,154.225,25.646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.288,2,35.318,0,0,0,0,0
A0A0A0RM07,0,0,0,0,0,0,0,0,0,0,0,0,113,39,63,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,8,0,0,0,0,0
A0A0B5RUB0,0,0,0,0,0,0,0,0,0,1,0,0,435.083,163.289,215.657,54.845,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,41.423,8,76.654,0,1,0,0,0
A0A0B6VQ48,0,0,0,0,0,0,0,0,0,0,0,0,130,65,79,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,5,17,0,0,0,0,0
A0A0C3VJP4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0D3QS99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0E0SMA3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0G2JEB6,0,0,0,0,0,0,0,0,0,0,0,0,730,24,173,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,12,154,0,0,0,0,0
A0A0G2K1Q8,0,0,0,0,0,0,0,0,0,0,0,0,245.022,79,95,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,42,0,0,0,0,0
A0A0H2VBH0,0,0,0,0,0,0,0,0,0,0,0,0,38,25,47,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,0,0,0,0,0
A0A0H2VDN9,0,0,0,0,0,0,0,0,0,0,0,0,168,62,84,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,7,18,0,0,0,0,0
A0A0H3K6J4,0,0,0,0,0,0,0,0,0,0,0,0,21,30,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,6,0,0,0,0,0
A0A0H3LKL4,0,0,0,0,0,0,0,2,1,0,0,0,1046,206,562,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,18,92,0,0,0,0,0
A0A0I9QGZ2,0,0,0,0,0,0,0,0,1,1,0,0,360,68,182,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,9,50,0,0,0,0,0
A0A0L0P4F8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0M3R8G1,0,0,0,0,0,0,0,0,0,1,0,0,47,24,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0
A0A0M5K865,0,0,0,0,0,0,0,0,0,1,0,0,346.169,205.002,291.999,30.999,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,64.616,40,82.392,0,0,0,0,0
A0A0P0VG31,0,0,0,0,0,0,0,0,0,0,0,0,99,12,40,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4,0,0,1,0,0
A0A0P0WGX7,0,0,0,0,0,0,0,0,0,1,0,2,424,165,254,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,20,83,0,0,0,0,0
A0A0P0X004,0,0,0,0,0,0,0,0,0,0,0,0,60,44,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,9,0,0,0,0,0
A0A0P0XB70,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0P6JG37,0,0,0,0,0,0,0,0,0,0,0,0,172,32,66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,18,0,0,0,0,0
A0A0R4I9Y1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0R4IBK5,0,0,0,0,0,0,0,0,0,0,0,0,495.891,128.442,193.89,54.494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.035,22.226,86.346,0,0,0,0,0
A0A0R4IF99,0,0,0,0,0,0,0,0,0,0,0,0,13.905,10.24,50.185,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.093,4,10,0,0,0,0,0
A0A0R4IKJ1,0,0,4,0,0,0,0,0,0,1,0,0,679,205,436,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,30,65,0,0,0,0,0
A0A0R4IMY7,0,0,0,0,0,0,0,0,0,0,0,0,142,45,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,23,0,0,0,0,0
A0A0R4IQZ2,0,0,0,0,0,0,0,0,0,0,0,0,166,53,149,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4,15,0,0,0,0,0
A0A0U5CNP2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A125YHX7,0,0,2,0,0,0,0,0,5,3,0,0,670,270,358,69,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,22,157,0,0,0,0,0
A0A125YS36,0,0,0,0,0,0,0,0,0,1,0,0,780,270,481,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,32,96,0,0,0,0,0
A0A125YZN2,0,0,0,0,0,0,0,1,2,8,0,0,1024,328,539,71,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,39,137,0,0,0,0,0
A0A140H545,0,0,0,0,0,0,0,0,0,0,0,0,12,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A140JWS7,0,0,0,0,0,0,0,0,0,0,0,0,95,45,28,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,5,11,0,0,0,0,0
