Entry,M_d1_B,M_d3_B,M_d6_B,O_d1_B,O_d3_B,O_d6_B,O_d7_B,O_d8_B,Past_d1_B,Past_d2_B,Past_d3_B,Past_d6_B,Past_d7_B,Pstr_d7_B
A0A023I7E1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
A0A024SNB7,0,0,0,0,0,0,0,0,0,0,0,0,0,8
A0A067XMP1,0,0,0,0,0,0,0,0,0,0,0,0,0,12
A0A068FIK2,0,0,0,0,0,0,0,0,0,0,0,0,0,4
A0A078IS66,0,0,0,0,0,0,0,0,0,0,0,0,0,20
A0A078ISJ6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A096XJN4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0A0LLY1,0,0,0,0,0,0,0,0,0,0,0,0,0,49
A0A0A0RM07,0,0,0,1,0,0,0,0,0,0,0,0,0,36
A0A0B4KGY6,0,0,0,0,0,0,0,0,0,0,0,0,0,38
A0A0B5RUB0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
A0A0B6VQ48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0C5PRQ1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
A0A0D2YG06,0,0,0,0,0,0,0,0,0,0,0,0,0,9
A0A0D3QS99,0,0,0,0,0,0,0,0,0,0,0,0,0,7
A0A0G2K1Q8,0,0,0,0,0,0,0,0,0,0,0,0,0,13
A0A0H2VDN9,0,0,0,0,0,0,0,0,0,0,0,0,0,88
A0A0I9QGZ2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0P0X004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0P0XB70,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0P0XM10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0P6JG37,0,0,0,0,0,0,0,0,0,0,0,0,0,6.543
A0A0R3K2G2,0,0,0,0,0,0,0,0,0,0,0,0,0,12
A0A0R4I9Y1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
A0A0R4IBK5,0,0,0,0,0,0,0,0,0,0,0,0,0,33
A0A0R4IKJ1,0,0,0,0,0,0,0,0,0,0,0,0,0,20.55
A0A0R4IMY7,0,0,0,0,0,0,0,0,0,0,0,0,0,5
A0A0S6XAW4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A125YHX7,577,630,453,168,298,275,277,207,0,0,0,0,0,55
A0A125YZN2,0,0,0,0,0,0,0,0,0,0,0,0,0,54
A0A140H545,0,0,0,0,0,0,0,0,0,0,0,0,0,2
