Entry,UVI_092_B,UVI_094_B,UVI_096_B,UVI_100_B,UVI_102_B,UVI_104_B,UVI_106_B,UVI_108_B,USVI_118_B,UVI_132_B,UVI_136_B,UVI_138_B
A0A023I7E1,4,6,26,0,0,0,0,0,0,0,0,0
A0A024SNB7,18,32,111,0,1,0,1,0,2,0,0,0
A0A067XMP1,47,63,122,0,0,0,0,5,0,0,0,0
A0A068FIK2,32,27,92,0,5,0,0,0,0,1,0,0
A0A078IS66,141,88,192,0,0,0,0,0,0,0,0,0
A0A078ISJ6,51,41,144,0,1,0,0,1,0,0,1,0
A0A096XJN4,58,61,175,0,2,0,0,5,0,0,0,0
A0A0A0LLY1,104,89,135,0,0,4,1,3,2,0,0,0
A0A0A0RM07,188,158.193,451,1,5,0,0,8,4,0,1,0
A0A0B4KGY6,185.978,126.101,268.903,0,5.071,0,1,3,0,0,0,0
A0A0B5RUB0,150.2,108,376.825,0,2,0,0,6,1,0,0,0
A0A0B6VQ48,6,0,15,0,0,0,0,0,0,0,0,0
A0A0C5PRQ1,9,21,43,0,0,0,0,0,0,0,0,0
A0A0D2YG06,238,128,277,0,0,1,0,4,1,1,0,0
A0A0D3QS99,14,28,34,0,0,0,0,0,0,0,0,0
A0A0G2K1Q8,42,51,113,0,0,0,1,1,1,0,0,0
A0A0H2VDN9,285,193,501,0,1,0,0,13,2,4,0,0
A0A0I9QGZ2,19,8,36,0,0,0,0,0,0,0,0,0
A0A0P0X004,9,2,32,0,2,0,0,0,0,0,0,0
A0A0P0XB70,22,6,25,0,0,0,0,0,0,0,0,0
A0A0P0XM10,2,0,0,0,0,0,0,0,0,0,0,0
A0A0P6JG37,150,119.993,221,0,3,0,0,6,0,0,0,0
A0A0R3K2G2,27,12,44,0,0,0,0,0,0,0,0,0
A0A0R4I9Y1,28,17,32,0,0,0,0,0,0,0,0,0
A0A0R4IBK5,42,39.497,138,0,0,0,0,2,2,0,0,0
A0A0R4IKJ1,139.322,111,237.223,0,0,1,1,4,0,0,0,0
A0A0R4IMY7,47,34,95,0,4,0,0,0,0,0,0,0
A0A0S6XAW4,46,40,151,0,1,0,0,0,0,0,0,0
A0A125YHX7,304,225.002,657,17,62,39,51,90,0,112,67,42
A0A125YZN2,220,210,428,0,4,0,0,3,1,0,0,0
A0A140H545,1,1,7,0,0,0,0,0,0,0,0,0
A0A140IL92,46.381,24.798,40.494,0,0.882,0,1,3.972,0,0,0,0
A0A140JWS7,19,5,21,0,0,0,0,1,0,0,0,0
A0A140LI88,37,16,46,0,0,0,0,2,0,0,0,0
A0A140N890,36,44,31,0,0,0,0,0,0,0,0,0
A0A168WVR6,58,30,96,0,0,0,2,2,2,0,0,0
A0A172J1S0,6,5,7,0,0,0,0,0,0,0,0,0
A0A172J1V3,30,10,53,0,4,0,0,0,0,0,0,0
A0A182C2Z2,16.219,0,8.308,0,0,0,0,0,0,0,0,0
A0A1B3PEJ0,30,27,40,0,0,0,0,0,1,0,0,0
A0A1B4XBG9,149,72,205,0,2,0,0,1,3,0,0,0
A0A1B5L6A5,132,101,217,0,0,0,7,3,0,0,0,0
A0A1B8YAB1,0,0,0,0,0,0,0,0,0,0,0,0
A0A1C3YKE0,11,4,27,0,0,0,0,0,0,0,0,0
A0A1C7D1B7,68,71,184,0,0,0,0,1,0,0,0,0
A0A1D6IEG9,33,34,52,0,0,0,0,0,0,0,0,0
A0A1D8PDU3,0,0,0,0,0,0,0,0,0,0,0,0
A0A1D8PDZ1,713,318,877,0,5,1,2,27,5,1,3,0
A0A1D8PH78,155,143,203,0,0,0,0,6,0,0,0,0
A0A1D8PHH4,121,82,170,0,0,0,0,6,0,0,0,0
A0A1D8PL99,0,0,0,0,0,0,0,0,0,0,1,0
A0A1D8PN83,0,0,0,0,0,0,0,0,0,0,1,0
A0A1E3B0T2,0,4,16,0,0,0,0,0,0,0,0,0
A0A1I9LM04,9,12,38,1,12,1,4,15,0,0,0,0
A0A1L5BUX8,11,11,29,0,0,0,0,3,0,1,0,0
A0A1L8GXY4,9.037,8.279,31.745,0,0,0,0,1,0,0,0,0
A0A1L8HCK2,66,63,117,0,0,0,0,1,0,1,0,0
A0A1P8AUY4,40,27,96,0,0,0,0,0,0,0,0,0
A0A1S4A695,0,5,1,0,0,0,0,0,0,0,0,0
A0A1U8F5V2,60,40,112,0,0,0,0,3,1,0,0,0
A0A1U8QWA2,13,13,24,0,0,0,0,1,0,0,0,0
A0A1W2P872,55,41,130,0,0,0,0,0,1,0,0,0
A0A250YGJ5,229,139,379,0,0,2,2,3,2,0,0,0
A0A254TZW7,11,10,44,0,0,0,0,0,0,0,0,0
A0A286R227,54,53,174,0,3,0,0,14,0,0,0,0
A0A291PQG3,1,0,2,0,0,0,0,0,0,0,0,0
A0A2I0BVG8,242,254,555,0,5,0,0,6,1,0,0,0
A0A2K5TU92,29,9,30,0,0,0,0,4,0,0,0,0
A0A2N6JFX7,57,36,127,0,0,0,0,0,0,1,0,0
A0A2R8Q1W5,36,10,61,0,0,0,0,0,0,0,0,0
A0A2U8QPE6,5,10,31,0,0,0,0,0,0,0,0,0
A0A2Z4HPZ8,61,28,92,0,0,0,0,0,0,0,0,0
A0A2Z5VKM8,48,20,67,0,0,0,0,0,0,0,0,0
A0A348AXX4,20,19,26.19,0,0,0,0,1,2,0,0,0
A0A383ZFX3,38,32,84,4,0,0,0,0,0,0,0,0
A0A3G1DIQ9,71,38,95,0,0,0,0,0,0,0,0,0
A0A3S5HYN5,15.589,0,45.982,0,0,0,0,0,0,0,0,0
A0A3S5YBC7,118,102,396.026,0,2,0,0,1,2,0,0,0
A0A411EW25,41,21,101,0,0,0,0,0,0,0,0,0
A0A411PQP8,50,41,74,0,0,0,0,2,1,0,0,0
A0A455R5H4,218.411,276,590.018,0,1,0,1,12,0,0,0,0
A0A482NAR8,2,0,0,0,0,0,0,0,0,0,0,0
A0A4P8DJE6,33.102,19.002,95.196,0,0,0,0,0,1.998,0,0,0
A0A4V8H042,26,34,90,0,0,0,1,1,0,0,0,0
A0A4X1TZW7,37,32,147,0,1,0,0,0,0,0,0,0
A0A4Y1YQ38,1252.195,684.911,1417.954,1,11,1,1,44,9,0,1,0
A0A4Y1YTM1,1699,1113,2481.001,2,16,3,8,49,29,19,9,11
A0A509ADH4,110,67,172,0,0,0,0,4,0,0,0,0
A0A509AFG4,17,17,42,0,0,0,0,3,1,0,0,0
A0A509AHB6,258,256,527,0,6,1,1,9,6,0,0,0
A0A509AI82,204.941,167.88,536.117,0,2,0,0,8,1,0,1,0
A0A509AJG0,38,39.004,70,3,8,5,17.924,9,0,24,13,7
A0A509AKB8,40,12,20,0,0,0,0,0,0,0,0,0
A0A509AKL0,80.242,56.2,149.625,0,0,0,4,6,3,0,0,0
A0A509ALV6,69,32.683,123.495,0,0,0,0,0,1,0,0,0
A0A509AMC3,25,18,56,0,0,0,0,1,1,0,0,0
A0A509AQE6,70.965,76.54,185,0,0,1,3,1,2,0,0,0
A0A5K1K8H0,141,155,257,0,0,0,2,0,0,0,0,0
A0A6B9KZ79,59,62,229,0,0,0,0,2,1,0,0,0
A0A6P3HVI0,27,32,45,0,1,0,0,0,0,0,0,0
A0A7H0DN16,0,0,0,0,0,0,0,0,0,0,0,0
A0A8C2MDK8,25,22,36,0,0,0,0,0,0,0,0,0
A0A8V1ABE9,6,4,15,0,0,0,0,0,0,0,0,0
