Entry,M_c1_B,M_c3_B,M_c5_B,M_c6_B,M_c7_B,M_c8_B,O_c1_B,O_c2_B,O_c3_B,O_c6_B,O_c7_B,O_c8_B,Past_c1_B,Past_c5_B,Past_c6_B,Past_c7_B,Pstr_c3_B,Pstr_c5_B,Pstr_c7_B,Pstr_c8_B,UVI_081_B,UVI_083_B,UVI_085_B,UVI_087_B,UVI_089_B,UVI_091_B,UVI_093_B,UVI_095_B,UVI_097_B,UVI_099_B,UVI_103_B,UVI_105_B,UVI_107_B,USVI_109_B,USVI_111_B,USVI_117_B,UVI_129_B,UVI_131_B,UVI_133_B,UVI_135_B,UVI_137_B
A0A023I7E1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,5,115.612,32,0,0,0,0,0,4,1,25.073,9,0,0,2,0,0,0,0,0,0,0,0,0
A0A024SNB7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,35,120,50,0,0,0,0,0,18,19,128,23,0,0,6,0,0,0,0,0,0,0,0,0
A0A067XMP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,159,631,262,0,0,0,0,0,31,35,116,57,0,0,2,0,0,0,0,0,0,0,0,0
A0A068FIK2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,45,116,10,0,0,0,0,0,30,17,108,37,0,0,7,0,0,0,0,0,0,0,0,0
A0A078IS66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,121,191,53,0,2,0,0,0,118,47.17,152,82,0,1,3,0,0,0,0,0,0,0,0,0
A0A078ISJ6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,37,131,17,0,0,0,0,0,46,22,120,85,0,1,7,0,0,0,0,0,0,0,0,0
A0A096XJN4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,128,388,163,0,0,0,0,0,58,30,178,34,0,0,1,0,0,0,0,0,0,0,0,0
A0A0A0LLY1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,96,382,145,0,0,0,0,0,87,36,100,78,0,0,3,0,0,0,0,0,0,0,0,0
A0A0A0RM07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,210,535,207.662,0,0,0,1,0,207.089,120,543.861,154,1,0,13,0,0,0,0,0,0,2,0,0
A0A0B4KGY6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485.509,243.214,497.899,231.235,0,0,1,0,0,155.149,89,210,208.404,0,0,7,0,0,0,0,0,0,0,1,0
A0A0B5RUB0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,125,755.333,150,0,0,0,0,0,133.175,93,482.593,102.186,0,0,8,0,0,0,0,0,0,0,0,0
A0A0B6VQ48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,27,37,31,0,0,0,0,0,1,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0
A0A0C5PRQ1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,11,56,33,0,0,0,0,0,7,2,46,5,0,0,1,0,0,0,0,0,0,0,0,0
A0A0D2YG06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,106,323,77,0,0,0,0,0,146,64,174,109,0,0,2,1,0,0,0,0,0,0,0,0
A0A0D3QS99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,62,27,86,0,0,0,0,0,34,19,48,23,2,0,1,0,0,0,0,0,0,0,0,0
A0A0G2K1Q8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,53,179,148,0,0,0,0,0,31,12,73,22,0,0,0,1,0,0,0,0,0,4,0,0
A0A0H2VDN9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493,336,643,329,1,0,1,0,0,245,121,313,285,0,0,7,0,0,0,0,0,0,1,0,0
A0A0I9QGZ2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,10,6,0,0,0,0,0,16,7,12,7,0,0,0,0,0,0,0,0,0,0,0,0
A0A0P0X004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,72,5,0,0,0,0,0,10,10,27,4,0,0,0,0,0,0,0,0,0,0,0,0
A0A0P0XB70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,24,15,26,0,0,0,0,0,19,8,23,16,0,0,0,0,0,0,0,0,0,0,0,0
A0A0P0XM10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0P6JG37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,225,792,301,0,0,0,0,0,156,72,211,157,0,0,3,0,0,0,0,1,0,4,0,0
A0A0R3K2G2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6,27,0,0,0,0,0,18,3,27,14,0,0,1,0,0,0,0,0,0,0,0,0
A0A0R4I9Y1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.097,14,65,41,0,0,0,0,0,31.999,14.006,33,47,0,0,0,0,0,0,0,0,0,0,0,0
A0A0R4IBK5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,73.001,232,76,0,0,0,0,0,46,38,183,29,0,1,4,0,0,0,0,0,0,0,0,0
A0A0R4IKJ1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,256.71,589.328,164,0,0,0,0,0,103.605,65.402,238.325,84.895,0,0,8,0,0,0,0,0,0,0,0,0
A0A0R4IMY7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,49,92,32,0,0,0,0,0,55.991,25,84,48,0,0,1,0,0,0,0,0,0,1,0,0
A0A0S6XAW4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,81,215,42,0,0,0,0,0,29,26,155,33,0,0,2,0,0,0,0,0,0,0,0,0
A0A125YHX7,1046,1269,636,610.038,810,519,127,92,401,180,100,293,1,0,0,0,447,378,1422,403,181,195,81.001,184,137,259.001,211,592.881,177,32,35,57.001,51,0,0,0,103,174,113,153,76
A0A125YZN2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489,377,932,431,0,0,0,0,0,192,119,412,203,0,0,8,1,0,0,0,1,0,0,0,0
A0A140H545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,12,0,0,0,0,0,0,10,2,10,11,0,0,0,0,0,0,0,0,0,0,0,0
A0A140IL92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.312,33.667,39.959,58.395,0,0,0,0,0,52.584,18.48,42.459,15.628,0,0,1.4,0,0,0,0,0,0,0,0,0
A0A140JWS7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,49,63,77,0,0,0,0,0,8,9,18,5,0,0,0,0,0,0,0,0,0,1,0,0
A0A140LI88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,21,73,71,0,0,0,0,0,29,8,29,19,0,0,0,0,0,0,0,0,0,0,0,0
A0A140N890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,27,55,34,1,0,0,0,0,41,19,9,33,0,4,2,2,0,0,0,0,0,0,0,0
A0A168WVR6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,76,225,73,0,0,0,1,0,59,18,121,53,0,0,0,0,0,0,0,0,0,0,0,0
A0A172J1S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,26,44,30,0,0,0,0,0,8,1,12,4,0,0,0,0,0,0,0,0,0,0,0,0
A0A172J1V3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,17,24,40,0,0,0,0,0,12,7,38,16,0,0,0,0,0,0,0,0,0,0,0,0
A0A182C2Z2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.759,3.975,0,4.338,0,0,0,0,0,0,0,0,0,0,0,0
A0A1B3PEJ0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,40,58,50,0,0,0,0,0,17,11,34,26,0,0,0,0,0,0,0,0,0,0,0,0
A0A1B4XBG9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,185,375,247,0,0,0,0,0,113,53,182.205,93,1,0,4,0,0,0,0,1,0,0,0,0
A0A1B5L6A5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274,163,491,204,0,0,0,0,0,139,50,150,108,0,0,1,0,0,0,0,0,0,5,0,0
A0A1B8YAB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A1C3YKE0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,12,4,0,0,0,0,0,3,4,19,1,0,0,1,0,0,0,0,0,0,0,0,0
A0A1C7D1B7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,105,353,149,0,0,0,0,0,94,41,175.979,66,0,0,6,0,0,0,0,0,0,0,0,0
