Entry,M_d1_C,M_d3_C,M_d6_C,O_d1_C,O_d3_C,O_d6_C,O_d7_C,O_d8_C,Past_d1_C,Past_d2_C,Past_d3_C,Past_d6_C,Past_d7_C,Pstr_d7_C
A0A011QK89,160,150,185,153,267,145,145,210,0,0,0,0,0,0
A0A023I7E1,0,0,0,19.942,50.152,81.123,51.11,98.89,0,0,0,0,0,0
A0A024SH76,0,0,0,0,0,0,0,2,0,0,0,0,0,0
A0A024SNB7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A060A682,0,0,0,1,1,0,4,1,0,0,0,0,0,0
A0A067XMP1,3,4,16,970,1433,1442,1296,1046,0,0,2,0,0,0
A0A067YMX8,10,30,18,0,0,0,0,0,0,0,0,0,0,0
A0A068FIK2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A075HNX4,6,39,6,2,27,41,30,23,0,0,0,0,0,0
A0A075TJ05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A076FF10,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A0A078CGE6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A078IS66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A078ISJ6,0,0,0,0,1,6,1,3,0,0,0,0,0,0
A0A084R1J7,0,0,3,0,0,1,0,3,0,0,0,0,0,0
A0A089QRB9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A096X8J7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0A0RM07,9.696,3,10,370,568,484,251,596,0,0,0,0,0,0
A0A0A6ZFR4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0B4KGY6,12,17,23,112,137,157,46,104,0,0,0,0,0,0
A0A0B5KU17,1,0,0,1,0,0,4,2,0,0,0,0,0,0
A0A0B6VQ48,88,86,155,65,93,92,36,94,0,0,0,0,0,0
A0A0B7P9G0,126.534,100.721,80.948,385,1087.309,770,459.345,963.231,0,0,0,0,0,0
A0A0C5URS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0D1BUH6,0,0,3,4,0,0,0,2,0,0,0,0,0,0
A0A0D2XVZ5,31,18,28,0,1,0,0,0,0,0,0,0,0,0
A0A0G2JDV3,986,1043,920,1235,1752,1344,856,1860,0,0,0,0,0,0
A0A0G2JEB6,6,1,7,1,6,19,25,39,0,0,2,0,0,0
A0A0G2K047,9,15,22,4,15,0,6,24,0,0,0,0,0,0
A0A0H2VDN9,13,18,2,8,12,12,6,14,0,0,0,0,0,0
A0A0H3AL67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0H3JQ59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0H3JRU9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0I9QGZ2,3,0,2,6,15,3,4,6,0,0,0,0,0,0
