Entry,UVI_092_C,UVI_094_C,UVI_096_C,UVI_100_C,UVI_102_C,UVI_104_C,UVI_106_C,UVI_108_C,USVI_118_C,UVI_132_C,UVI_136_C,UVI_138_C
A0A011QK89,13,24,1,19,103,58,82,107,0,160,138,111
A0A023I7E1,1.266,13.977,0,1,57.861,3,7,55.634,1,16,4,5
A0A024SH76,1,0,0,0,13,2,1,2,2,25,8,8
A0A024SNB7,0,0,0,0,0,0,8,0,0,0,0,0
A0A060A682,0,1,0,0,1,0,1,4,2,11,2,7
A0A067XMP1,153,163,50,344,976,655,1010,1260,16,2084.768,1090.273,1081
A0A067YMX8,0,0,0,0,7,0,13,2,0,0,1,3
A0A068FIK2,0,0,0,0,0,0,8,0,0,0,0,0
A0A075HNX4,0,1,0,3,12,0,2,1,0,7,2,0
A0A075TJ05,0,0,0,0,0,0,1,0,0,0,0,0
A0A076FF10,0,0,0,0,0,0,5,0,0,0,0,0
A0A078CGE6,0,0,0,0,8,0,0,3,0,4,0,8
A0A078IS66,0,0,0,0,0,0,28,1,0,0,0,0
A0A078ISJ6,0,0,0,5,6,0,8,0,0,1,3,5
A0A084R1J7,1,0,0,0,0,0,0,7,4,46,12,8
A0A089QRB9,0,0,0,0,0,0,0,0,0,0,0,0
A0A096X8J7,0,0,0,0,0,0,0,0,0,0,0,0
A0A0A0RM07,21,36,0,2,4.061,1,15,1,3,312.019,177,224
A0A0A6ZFR4,0,0,0,0,0,0,0,0,0,0,0,0
A0A0B4KGY6,10,4,0,40,114,77,118,93.502,2,74,39,44
A0A0B5KU17,0,0,0,1,2,0,5.595,1,0,2,0,0
A0A0B6VQ48,1,0,0,11,22,24,71,28,0,46,29,27
A0A0B7P9G0,39,115,3,1.271,12.163,7.689,4.298,11.467,6,103,47,26
A0A0C5URS1,0,0,0,0,0,0,0,0,0,0,0,0
A0A0D1BUH6,0,0,0,0,5,0,0,3,0,4,3,3
A0A0D2XVZ5,0,0,0,0,2,1,2,0,1,7,0,0
A0A0G2JDV3,59,121,3,152,401.998,254,419,531,4,450,168,131
A0A0G2JEB6,2,6,0,4,9,0,10,7,0,158,68,47
A0A0G2K047,3,2,0,2,6,0,0,3,0,5,2,7
A0A0H2VDN9,17,3,13,10,6,3,8,6,4,64.601,53,44
A0A0H3AL67,0,0,0,0,0,0,0,0,0,0,0,0
A0A0H3JQ59,0,0,0,0,0,0,0,0,0,0,0,0
A0A0H3JRU9,0,0,0,0,0,0,2,0,0,0,0,0
A0A0I9QGZ2,1,1,0,1,9,0,17,5,7,88,42,30
A0A0K2JKU1,4,5,0,13,36,26,60,49,0,0,0,0
A0A0K9RDW0,3,4,0,50,229,115,199,202,0,18,2,8
A0A0L0P6P7,0,0,0,0,0,0,0,0,0,0,0,0
A0A0M5K865,46,94,42,48,97.204,57.186,169.442,124.366,3,94,33,47
A0A0P0WGX7,0,0,0,0,0,0,12,0,0,0,0,0
A0A0P0X004,0,3,0,3,3,1,0,0,1,0,0,0
A0A0P6JG37,0,0,0,0,0,0,0,0,0,0,0,0
A0A0R4I9Y1,0,0,0,0,0,0,5,0,0,0,0,0
A0A0R4IBK5,20.067,25.448,1.002,35.054,365.935,116.636,232.405,331.631,6,80.767,24.188,25.857
A0A0R4IC37,0,0,0,0,0,0,4,0,0,0,0,0
