Entry,M_c1_C,M_c3_C,M_c5_C,M_c6_C,M_c7_C,M_c8_C,O_c1_C,O_c2_C,O_c3_C,O_c6_C,O_c7_C,O_c8_C,Past_c1_C,Past_c5_C,Past_c6_C,Past_c7_C,Pstr_c3_C,Pstr_c5_C,Pstr_c7_C,Pstr_c8_C,UVI_081_C,UVI_083_C,UVI_085_C,UVI_087_C,UVI_089_C,UVI_091_C,UVI_093_C,UVI_095_C,UVI_097_C,UVI_099_C,UVI_103_C,UVI_105_C,UVI_107_C,USVI_109_C,USVI_111_C,USVI_117_C,UVI_129_C,UVI_131_C,UVI_133_C,UVI_135_C,UVI_137_C
A0A011QK89,68,322,166,188,190,145,214,175,298,155,115,245,0,0,0,0,0,0,0,0,176,140,84,109,114,25,9,0,24,81,65,38,105,0,0,0,147,168,168,185,120.994
A0A023I7E1,0,0,0,1,0,1.537,26.797,40.781,32.304,35.594,30.132,161.061,1,0,0,0,0,0,1,0,2.938,0,0,2,0,8.68,2.818,0,9.031,5,3,40.934,13,0,0,0,8,25,36,9,20
A0A024SH76,0,0,0,1,0,5,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,2,0,0,0,12,10.604,14,8,15
A0A024SNB7,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
A0A060A682,0,0,0,0,0,0,2,0,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,4,3,0,0,0,5,2,11,20,9
A0A067XMP1,20,7,12,4,13,22,1037,626,1834,1059,482,1557,0,0,0,6,26,34,144,48,10,10,7,3,2,163,126,66,320,844,601,621,1235,0,0,2,1482,1866.622,1748,1803.032,1538
A0A067YMX8,19,89,45,36,59,40,0,54,0,0,0,0,0,0,0,0,0,0,0,0,9,7,19,17,12,0,0,0,0,0,0,5,23,0,0,0,11,2,0,6,0
A0A068FIK2,0,0,0,0,0,0,0,136,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
A0A075HNX4,31,56,38,13,57,43,7,8,11,5,6,38,0,0,0,0,0,0,0,0,13,3,32,25,22,4,2,0,0,4,3,9,8,0,0,0,7,12,17,10,2
A0A075TJ05,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
A0A076FF10,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
A0A078CGE6,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,4,0,1,1,0
A0A078IS66,0,0,0,0,0,0,0,313,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
A0A078ISJ6,0,0,0,0,0,0,1,170,1,4,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,24,0,0,0,2,1,2,1,0
A0A084R1J7,0,5,1,3,0,1,2,2,1,0,1,3,0,0,0,4,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,2,0,0,1,11,33,29,22,27
A0A089QRB9,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
A0A096X8J7,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
A0A0A0RM07,6,11.002,14,4,19,10,506,386,647,464,279,638,1,0,0,0,0,0,0,7,17,7,5,12,14,45,27,0,65,0,1,2,12,0,0,0,230,318,380,306,252
A0A0A6ZFR4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0B4KGY6,10,27,11,14,18,19,105,204,172,106,90,120,1,0,0,0,1,0,0,0,27,5,6,4,4,10,7,0,11,74,71,51,125,4,0,0,83,53,25,86,43
A0A0B5KU17,0,0,0,0,0,0,2,3,1,1,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,7.464,0,0,0,2,0,0,6,1
A0A0B6VQ48,77,224,82,74,139,125,77,483,80,90,36,129,4,0,0,0,0,0,0,0,64,36,34,50,26,8,0,0,7,29,24,19,66,0,0,0,44,53,65,70,45
A0A0B7P9G0,42.53,261.355,258.542,118.061,269.026,176.644,841.472,535.94,1261.248,864.956,437,1269.126,1,0,0,0,0,0,0,0,69.369,54.755,51.057,93.443,64.67,66,55,0,155.334,0,9.135,7.355,10.005,0,0,0,77,114.997,160.849,96,44
A0A0C5URS1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
A0A0D1BUH6,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,0,1,4,2,5,1
A0A0D2XVZ5,16,21,12,14,38,27,2,0,1,0,0,0,0,0,0,0,0,0,0,0,9,7,2,17,5,0,0,0,0,0,0,0,0,0,0,0,1,2,4,2,3
A0A0G2JDV3,686,1803,1038,1058,1215,1080,1707,1002,2358,1497,891,2065,0,0,0,0,2,0,1,0,545,530.383,340,585,441.261,142,75,0,193,262,193,342,384,0,0,0,314,465,375,368,293
A0A0G2JEB6,5,5,8,2,6,15,4,58,9,13,10,29,0,0,0,0,0,5,0,0,10,2,1,2,1,0,0,0,5,5,1,7,0,0,0,0,147,179,288,203,124.589
A0A0G2K047,24,65,25,35,25,11,14,3,24,10,10,11,0,0,0,0,0,0,0,0,6,12,6,6,4,1,0,0,0,3,1,6,6,0,0,0,8,11,13,6,3
A0A0H2VDN9,1,1,8,1,8,6,26,111,9,23,3,13,1,0,0,1,22,12,26,39,3,4,1,2,4,9,6,15,9,2,4,4,10,0,0,0,53,84.418,73,87,61
