Entry,M_d1_D,M_d3_D,M_d6_D,O_d1_D,O_d3_D,O_d6_D,O_d7_D,O_d8_D,Past_d1_D,Past_d2_D,Past_d3_D,Past_d6_D,Past_d7_D,Pstr_d7_D
A0A011QK89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A023I7E1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A024SNB7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A060A682,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A067XMP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A067YMX8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A076FFM5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A078IS66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A078ISJ6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A096X8J7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0A0LLY1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0A0RM07,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A0A0A6YYL3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0B4KGY6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0B6VQ48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0B7P9G0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0D3QS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0E0SMA3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0F7CUE8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0G2JEB6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0G2K1Q8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0H2URH2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0H2VDN9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0I9QGZ2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0K2JKU1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0K2JL91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0K9RDW0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0L7K812,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0M5K865,0,0,0,0,0,0,0,0,0,2,0,0,0,0
A0A0P0X004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0R3K2G2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0R4I9Y1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0R4IBK5,0,0,0,0,0,0,0,0,0,1,0,0,0,0
A0A0R4IEW8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0R4IKJ1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
