Entry,UVI_092_A,UVI_094_A,UVI_096_A,UVI_100_A,UVI_102_A,UVI_104_A,UVI_106_A,UVI_108_A,USVI_118_A,UVI_132_A,UVI_136_A,UVI_138_A,UVI_092_B,UVI_094_B,UVI_096_B,UVI_100_B,UVI_102_B,UVI_104_B,UVI_106_B,UVI_108_B,USVI_118_B,UVI_132_B,UVI_136_B,UVI_138_B,UVI_092_C,UVI_094_C,UVI_096_C,UVI_100_C,UVI_102_C,UVI_104_C,UVI_106_C,UVI_108_C,USVI_118_C,UVI_132_C,UVI_136_C,UVI_138_C,UVI_092_D,UVI_094_D,UVI_096_D,UVI_100_D,UVI_102_D,UVI_104_D,UVI_106_D,UVI_108_D,USVI_118_D,UVI_132_D,UVI_136_D,UVI_138_D,M_d1_A,M_d3_A,M_d6_A,O_d1_A,O_d3_A,O_d6_A,O_d7_A,O_d8_A,Past_d1_A,Past_d2_A,Past_d3_A,Past_d6_A,Past_d7_A,Pstr_d7_A,M_d1_B,M_d3_B,M_d6_B,O_d1_B,O_d3_B,O_d6_B,O_d7_B,O_d8_B,Past_d1_B,Past_d2_B,Past_d3_B,Past_d6_B,Past_d7_B,Pstr_d7_B,M_d1_C,M_d3_C,M_d6_C,O_d1_C,O_d3_C,O_d6_C,O_d7_C,O_d8_C,Past_d1_C,Past_d2_C,Past_d3_C,Past_d6_C,Past_d7_C,Pstr_d7_C,M_d1_D,M_d3_D,M_d6_D,O_d1_D,O_d3_D,O_d6_D,O_d7_D,O_d8_D,Past_d1_D,Past_d2_D,Past_d3_D,Past_d6_D,Past_d7_D,Pstr_d7_D
A0A023I7E1,0,0,0,0,0,0,0,0,147,0,0,0,4,6,26,0,0,0,0,0,0,0,0,0,1.266,13.977,0,1,57.861,3,7,55.634,1,16,4,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,409.998,315.626,11,62,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,19.942,50.152,81.123,51.11,98.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A067XMP1,0,0,0,0,0,0,0,0,173,0,0,0,47,63,122,0,0,0,0,5,0,0,0,0,153,163,50,344,976,655,1010,1260,16,2084.768,1090.273,1081,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,2,0,0,0,0,369,352,156,50,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,4,16,970,1433,1442,1296,1046,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A078IS66,0,0,0,0,0,0,0,0,3,0,0,0,141,88,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,28.336,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A078ISJ6,0,0,0,0,0,0,0,0,156,0,0,0,51,41,144,0,1,0,0,1,0,0,1,0,0,0,0,5,6,0,8,0,0,1,3,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,337,372,100,123,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0A0RM07,0,0,0,0,0,0,0,0,13,0,0,0,188,158.193,451,1,5,0,0,8,4,0,1,0,21,36,0,2,4.061,1,15,1,3,312.019,177,224,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,33,121,39,7,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,36,9.696,3,10,370,568,484,251,596,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A0A0B6VQ48,0,0,0,0,0,0,0,0,50,0,0,0,6,0,15,0,0,0,0,0,0,0,0,0,1,0,0,11,22,24,71,28,0,46,29,27,0,0,0,0,0,0,5.284,0,0,0,0,0,0,0,0,0,0,0,0,0,103,187,72,10,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,86,155,65,93,92,36,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0H2VDN9,0,0,0,0,0,0,0,0,33,0,0,0,285,193,501,0,1,0,0,13,2,4,0,0,17,3,13,10,6,3,8,6,4,64.601,53,44,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,107,152,82,23,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,13,18,2,8,12,12,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0I9QGZ2,0,0,0,0,0,0,0,0,45,0,0,0,19,8,36,0,0,0,0,0,0,0,0,0,1,1,0,1,9,0,17,5,7,88,42,30,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,398,329,139,77,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,6,15,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0P0X004,0,0,0,0,0,0,0,0,6,0,0,0,9,2,32,0,2,0,0,0,0,0,0,0,0,3,0,3,3,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,64,34,13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,20,9,9,14,22,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0R4I9Y1,0,0,0,0,0,0,0,0,2,0,0,0,28,17,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0R4IBK5,0,0,0,0,0,0,0,0,93.933,0,0,0,42,39.497,138,0,0,0,0,2,2,0,0,0,20.067,25.448,1.002,35.054,365.935,116.636,232.405,331.631,6,80.767,24.188,25.857,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,546.108,436.706,178.739,122.778,38.062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,67.99,209.667,269.561,152.611,279.588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
A0A0R4IKJ1,0,0,0,0,0,0,0,0,123,2,0,0,139.322,111,237.223,0,0,1,1,4,0,0,0,0,15,34,0,41,143,88,146,184,6,273,163.579,99,0,0,0,0,0,0,6.022,0,0,0,0,0,0,0,0,0,0,0,0,0,545,627,263,148,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.55,248,320,302,214,314,237,232,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
