Sample_ID,Host,Disease,Clade
UVI_092_A,OANN,WP,A
UVI_094_A,OANN,WP,A
UVI_096_A,OANN,WP,A
UVI_100_A,OFAV,WP,A
UVI_102_A,OFAV,WP,A
UVI_104_A,OFAV,WP,A
UVI_106_A,OFAV,WP,A
UVI_108_A,OFAV,WP,A
USVI_118_A,PAST,WP,A
UVI_132_A,SSID,WP,A
UVI_136_A,SSID,WP,A
UVI_138_A,SSID,WP,A
UVI_092_B,OANN,WP,B
UVI_094_B,OANN,WP,B
UVI_096_B,OANN,WP,B
UVI_100_B,OFAV,WP,B
UVI_102_B,OFAV,WP,B
UVI_104_B,OFAV,WP,B
UVI_106_B,OFAV,WP,B
UVI_108_B,OFAV,WP,B
USVI_118_B,PAST,WP,B
UVI_132_B,SSID,WP,B
UVI_136_B,SSID,WP,B
UVI_138_B,SSID,WP,B
UVI_092_C,OANN,WP,C
UVI_094_C,OANN,WP,C
UVI_096_C,OANN,WP,C
UVI_100_C,OFAV,WP,C
UVI_102_C,OFAV,WP,C
UVI_104_C,OFAV,WP,C
UVI_106_C,OFAV,WP,C
UVI_108_C,OFAV,WP,C
USVI_118_C,PAST,WP,C
UVI_132_C,SSID,WP,C
UVI_136_C,SSID,WP,C
UVI_138_C,SSID,WP,C
UVI_092_D,OANN,WP,D
UVI_094_D,OANN,WP,D
UVI_096_D,OANN,WP,D
UVI_100_D,OFAV,WP,D
UVI_102_D,OFAV,WP,D
UVI_104_D,OFAV,WP,D
UVI_106_D,OFAV,WP,D
UVI_108_D,OFAV,WP,D
USVI_118_D,PAST,WP,D
UVI_132_D,SSID,WP,D
UVI_136_D,SSID,WP,D
UVI_138_D,SSID,WP,D
M_d1_A,MCAV,SCTLD,A
M_d3_A,MCAV,SCTLD,A
M_d6_A,MCAV,SCTLD,A
O_d1_A,OANN,SCTLD,A
O_d3_A,OANN,SCTLD,A
O_d6_A,OANN,SCTLD,A
O_d7_A,OANN,SCTLD,A
O_d8_A,OANN,SCTLD,A
Past_d1_A,PAST,SCTLD,A
Past_d2_A,PAST,SCTLD,A
Past_d3_A,PAST,SCTLD,A
Past_d6_A,PAST,SCTLD,A
Past_d7_A,PAST,SCTLD,A
Pstr_d7_A,PSTR,SCTLD,A
M_d1_B,MCAV,SCTLD,B
M_d3_B,MCAV,SCTLD,B
M_d6_B,MCAV,SCTLD,B
O_d1_B,OANN,SCTLD,B
O_d3_B,OANN,SCTLD,B
O_d6_B,OANN,SCTLD,B
O_d7_B,OANN,SCTLD,B
O_d8_B,OANN,SCTLD,B
Past_d1_B,PAST,SCTLD,B
Past_d2_B,PAST,SCTLD,B
Past_d3_B,PAST,SCTLD,B
Past_d6_B,PAST,SCTLD,B
Past_d7_B,PAST,SCTLD,B
Pstr_d7_B,PSTR,SCTLD,B
M_d1_C,MCAV,SCTLD,C
M_d3_C,MCAV,SCTLD,C
M_d6_C,MCAV,SCTLD,C
O_d1_C,OANN,SCTLD,C
O_d3_C,OANN,SCTLD,C
O_d6_C,OANN,SCTLD,C
O_d7_C,OANN,SCTLD,C
O_d8_C,OANN,SCTLD,C
Past_d1_C,PAST,SCTLD,C
Past_d2_C,PAST,SCTLD,C
Past_d3_C,PAST,SCTLD,C
Past_d6_C,PAST,SCTLD,C
Past_d7_C,PAST,SCTLD,C
Pstr_d7_C,PSTR,SCTLD,C
M_d1_D,MCAV,SCTLD,D
M_d3_D,MCAV,SCTLD,D
M_d6_D,MCAV,SCTLD,D
O_d1_D,OANN,SCTLD,D
O_d3_D,OANN,SCTLD,D
O_d6_D,OANN,SCTLD,D
O_d7_D,OANN,SCTLD,D
O_d8_D,OANN,SCTLD,D
Past_d1_D,PAST,SCTLD,D
Past_d2_D,PAST,SCTLD,D
Past_d3_D,PAST,SCTLD,D
Past_d6_D,PAST,SCTLD,D
Past_d7_D,PAST,SCTLD,D
Pstr_d7_D,PSTR,SCTLD,D
