"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Q39609",51.2252827351231,16.4258130778655,1.50134226790426,10.9407517719424,7.35871662836218e-28,3.04650868414194e-24
"Q9C2U0",26.5148619736508,18.4386236526517,1.69838644328154,10.8565537163765,1.8562280218495e-27,3.84239200522845e-24
"A2XQE8",231.396549472987,6.91838634393085,0.687205038519402,10.0674266865631,7.69654476010659e-24,1.06212317689471e-20
"Q27960",84.4174314224004,12.4100451713346,1.45784361578917,8.51260384648093,1.7007033218187e-17,1.76022793808235e-14
"Q9DER5",40.4826804696477,11.3721725710811,1.38703822444297,8.19888909380863,2.42618631441543e-16,2.00888226833598e-13
"Q52JK6",47.1993237562313,10.7738850308759,1.37047479952858,7.86142513133542,3.79787407209245e-15,2.62053310974379e-12
"Q80W93",102.019256534363,5.77644786507891,0.7752611761121,7.45097012860561,9.26563420383666e-14,5.47996080055482e-11
"P80483",102.606205886932,11.6480112489107,1.60111962145267,7.27491631033956,3.46635279712573e-13,1.79383757251256e-10
"Q9LT68",143.95440650391,2.89486152358575,0.40268948257127,7.18881830511529,6.53544748372968e-13,3.00630584251565e-10
"P22944",172.614054757959,3.83235527039301,0.534690885988185,7.16742209531076,7.64231296173259e-13,3.16391756615729e-10
"P43156",155.182932435998,8.30888520843637,1.17599573115857,7.06540422578796,1.60149110958363e-12,6.02743017606929e-10
"P35134",38.9297843913696,3.62862062350355,0.541060977956372,6.7064910820387,1.9936002505166e-11,6.87792086428227e-09
"O05496",106.231430057657,5.78984118640552,0.873434010868258,6.62882497631388,3.38369494156496e-11,1.0775766967753e-08
"Q28EW0",39.0984609816006,3.77639270322195,0.579189982012275,6.52012780003835,7.02475125469925e-11,2.07731929960392e-08
"P58905",38.5341948020558,9.7319592694351,1.49571769644633,6.50654818924537,7.68972427803486e-11,2.12236390073762e-08
"Q6DER6",40.8034636952092,9.87276340008207,1.52616330910577,6.46900848760863,9.86480558741746e-11,2.50791896406128e-08
