Entry,USVI_118_A,UVI_092_B,UVI_094_B,UVI_096_B,UVI_108_B,UVI_132_B,UVI_092_C,UVI_094_C,UVI_100_C,UVI_102_C,UVI_104_C,UVI_106_C,UVI_108_C,UVI_132_C,UVI_136_C,UVI_138_C,UVI_106_D,Past_d1_A,Past_d2_A,Past_d3_A,Past_d6_A,Past_d7_A,O_d3_B,O_d6_B,O_d7_B,O_d8_B,Pstr_d7_B,M_d1_C,M_d3_C,M_d6_C,O_d1_C,O_d3_C,O_d6_C,O_d7_C,O_d8_C,Past_d1_D
A0A011QK89,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,5.412278867,5.434330006,5.425426291,5.895659153,5.857769017,5.520763799,5.65222445,5.821721002,6.189252278,6.309489176,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,5.390867127,5.073816866,5.488503989,5.388371656,5.311465701,4.93329227,4.987486878,5.113481325,3.908906198
A0A023I7E1,6.728427264,4.683124507,5.00585576,5.031975363,3.908906198,3.908906198,4.343346651,5.095290464,4.272100591,5.446580553,4.384456191,4.402320513,5.204280828,4.553700678,4.337258043,4.475597283,5.750220629,6.098156673,6.128464178,4.570773735,5.22442757,6.80598504,3.908906198,3.908906198,3.908906198,3.908906198,5.514309281,3.908906198,3.908906198,3.908906198,4.464123581,4.535111614,4.681463594,4.558083576,4.748319212,3.908906198
A0A024SH76,7.096013891,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,4.343346651,3.908906198,3.908906198,4.663219788,4.297773134,4.096178023,4.161692082,4.711244533,4.512502829,4.623024458,3.908906198,6.99636738,6.675871822,6.75217341,6.82386279,6.65436263,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,4.029869791,3.908906198
A0A067XMP1,6.908142292,6.308447797,6.952818005,6.166169794,7.456871385,3.908906198,7.901345462,7.263561286,8.486338926,8.429468895,8.603765297,8.156042957,8.324698312,8.738317049,8.618268575,9.069225644,6.639757226,6.002342385,6.230662527,6.181100655,5.097714577,7.14452591,3.908906198,3.908906198,3.908906198,3.908906198,6.480869079,4.120682044,4.104196213,4.394698933,7.104754107,6.786419159,6.734085894,6.735041303,6.367542274,3.908906198
A0A068FIK2,5.244412792,5.950444731,6.081234546,5.910735785,3.908906198,7.002190168,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,4.436025944,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,5.480415263,5.920933523,5.897224984,4.727188447,5.558683555,3.908906198,3.908906198,3.908906198,3.908906198,5.514309281,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198
A0A078IS66,4.376872999,7.531420392,7.342280942,6.621057735,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,4.882000159,4.087766985,3.908906198,3.908906198,3.908906198,4.645052889,4.199404301,4.629212012,4.35725441,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,7.03701449,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198
A0A078ISJ6,6.793295695,6.389608446,6.488394319,6.326284019,5.790555878,3.908906198,3.908906198,3.908906198,4.712741613,4.4244707,3.908906198,4.436025944,3.908906198,4.071363987,4.280208284,4.475597283,5.338066485,5.922294373,6.284218034,5.786677186,5.707850368,6.732246015,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.99814762,4.121498574,4.000562652,4.057034064,3.908906198
A0A089QRB9,6.338610484,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,5.877638316,6.294676498,5.991910483,5.975571683,6.543164026,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198
A0A096X8J7,5.659845602,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,5.492230718,5.642993058,6.033614494,6.106100474,5.051601588,5.494858137,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198
A0A0A0LLY1,3.908906198,7.16661515,7.355832303,6.263086186,6.861203037,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,4.645052889,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,8.137489229,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198
