"","UVI_092_A","UVI_094_A","UVI_096_A","UVI_100_A","UVI_102_A","UVI_104_A","UVI_106_A","UVI_108_A","USVI_118_A","UVI_132_A","UVI_136_A","UVI_138_A","UVI_092_B","UVI_094_B","UVI_096_B","UVI_100_B","UVI_102_B","UVI_104_B","UVI_106_B","UVI_108_B","USVI_118_B","UVI_132_B","UVI_136_B","UVI_138_B","UVI_092_C","UVI_094_C","UVI_096_C","UVI_100_C","UVI_102_C","UVI_104_C","UVI_106_C","UVI_108_C","USVI_118_C","UVI_132_C","UVI_136_C","UVI_138_C","UVI_092_D","UVI_094_D","UVI_096_D","UVI_100_D","UVI_102_D","UVI_104_D","UVI_106_D","UVI_108_D","USVI_118_D","UVI_132_D","UVI_136_D","UVI_138_D","M_d1_A","M_d3_A","M_d6_A","O_d1_A","O_d3_A","O_d6_A","O_d7_A","O_d8_A","Past_d1_A","Past_d2_A","Past_d3_A","Past_d6_A","Past_d7_A","Pstr_d7_A","M_d1_B","M_d3_B","M_d6_B","O_d1_B","O_d3_B","O_d6_B","O_d7_B","O_d8_B","Past_d1_B","Past_d2_B","Past_d3_B","Past_d6_B","Past_d7_B","Pstr_d7_B","M_d1_C","M_d3_C","M_d6_C","O_d1_C","O_d3_C","O_d6_C","O_d7_C","O_d8_C","Past_d1_C","Past_d2_C","Past_d3_C","Past_d6_C","Past_d7_C","Pstr_d7_C","M_d1_D","M_d3_D","M_d6_D","O_d1_D","O_d3_D","O_d6_D","O_d7_D","O_d8_D","Past_d1_D","Past_d2_D","Past_d3_D","Past_d6_D","Past_d7_D","Pstr_d7_D"
"A0A023I7E1",0,0,0,0,0,0,0,0,152,0,0,0,2,3,12,0,0,0,0,0,0,0,0,0,1,12,0,1,54,2,3,51,1,8,2,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,449,351,21,82,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,30,70,103,71,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A067XMP1",0,0,0,0,0,0,0,0,59,0,0,0,15,21,39,0,0,0,0,2,0,0,0,0,64,65,22,145,403,276,419,526,7,875,459,459,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,0,0,0,866,820,362,129,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,9,12,43,2001,2975,2987,2696,2180,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A078IS66",0,0,0,0,0,0,0,0,1,0,0,0,75,44,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,77,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A078ISJ6",0,0,0,0,0,0,0,0,157,0,0,0,36,30,120,0,1,0,0,1,0,0,1,0,0,0,0,3,2,0,3,0,0,1,1,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,416,440,129,159,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A0A0RM07",0,0,0,0,0,0,0,0,4,0,0,0,117,100,292,1,4,0,0,5,3,0,1,0,14,23,0,1,2,1,6,1,2,208,120,160,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,76,216,73,19,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,50,20,9,22,504,780,672,373,800,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"A0A0B6VQ48",0,0,0,0,0,0,0,0,48,0,0,0,6,0,15,0,0,0,0,0,0,0,0,0,1,0,0,11,22,24,69,27,0,45,28,26,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,107,195,75,11,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,90,161,68,97,96,38,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A0H2VDN9",0,0,0,0,0,0,0,0,8,0,0,0,161,106,278,0,1,0,0,8,2,2,0,0,9,1,9,4,1,1,2,1,2,21,21,18,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,241,309,160,61,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,34,46,8,25,38,38,23,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A0I9QGZ2",0,0,0,0,0,0,0,0,28,0,0,0,9,4,18,0,0,0,0,0,0,0,0,0,1,1,0,1,4,0,10,2,7,67,32,22,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,494,411,174,108,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,13,29,9,11,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A0P0X004",0,0,0,0,0,0,0,0,7,0,0,0,9,3,28,0,2,0,0,0,0,0,0,0,0,3,0,3,4,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,76,36,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,24,10,9,14,24,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A0R4I9Y1",0,0,0,0,0,0,0,0,1,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
