"","USVI_118_A","UVI_092_B","UVI_094_B","UVI_096_B","UVI_108_B","UVI_132_B","UVI_092_C","UVI_094_C","UVI_100_C","UVI_102_C","UVI_104_C","UVI_106_C","UVI_108_C","USVI_118_C","UVI_132_C","UVI_136_C","UVI_138_C","UVI_106_D","M_d6_A","Past_d1_A","Past_d2_A","Past_d3_A","Past_d6_A","Past_d7_A","M_d6_B","O_d1_B","O_d3_B","O_d6_B","O_d7_B","O_d8_B","Past_d7_B","Pstr_d7_B","M_d1_C","M_d3_C","M_d6_C","O_d1_C","O_d3_C","O_d6_C","O_d7_C","O_d8_C"
"A0A023I7E1",149,1,2,12,0,0,1,11,1,53,2,3,49,1,8,2,2,6,0,451,353,21,83,51,0,0,0,0,0,0,0,6,0,0,0,30,72,104,72,118
"A0A067XMP1",14,2,4,6,1,0,48,41,123,318,240,336,441,4,759,400,420,2,0,1232,1145,503,232,188,0,0,0,0,0,0,0,41,25,33,82,2057,3109,3103,2834,2302
"A0A078IS66",1,64,37,76,0,0,0,0,0,0,0,8,1,0,0,0,0,1,0,29,87,19,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0
"A0A078ISJ6",156,37,30,122,1,0,0,0,3,2,0,3,0,0,1,1,2,3,0,403,426,125,154,51,0,0,0,0,0,0,0,0,0,0,0,0,1,16,1,9
"A0A0A0RM07",5,117,100,292,5,0,14,23,1,2,1,6,1,2,208,120,160,8,1,73,211,71,18,7,0,1,0,0,0,0,0,50,19,8,21,495,767,660,367,786
"A0A0B6VQ48",48,6,0,15,0,0,1,0,11,21,23,67,27,0,44,28,26,5,0,109,197,76,11,28,0,0,0,0,0,0,0,0,93,91,163,69,98,97,38,99
"A0A0H2VDN9",7,184,120,318,9,3,9,1,4,1,1,1,1,2,21,22,19,3,0,232,294,151,61,74,0,0,0,0,0,0,0,114,33,45,8,25,39,38,23,41
"A0A0I9QGZ2",25,8,3,15,0,0,1,1,1,4,0,9,2,6,63,30,20,8,0,504,419,177,111,34,0,0,0,0,0,0,0,0,8,0,6,14,31,9,11,15
"A0A0P0X004",7,10,3,30,0,0,0,3,3,4,1,0,0,1,0,0,0,3,0,69,33,13,0,3,0,0,0,0,0,0,0,0,8,22,9,9,13,22,0,43
"A0A0R4I9Y1",1,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
"A0A0R4IBK5",14,3,4,19,1,0,8,7,14,299,74,150,248,3,11,2,3,2,0,958,779,322,259,76,0,0,0,0,0,0,0,52,0,0,0,149,392,469,306,462
"A0A0R4IKJ1",27,52,46,75,1,0,6,19,31,107,83,114,170,4,251,175,72,1,0,783,832,351,249,91,0,0,0,0,0,0,0,29,297,383,342,284,434,350,344,305
"A0A125YHX7",234,499,367,1114,198,265,1,7,0,3,3,3,2,3,17,11,8,195,0,747,622,298,218,52,233,96,165,152,154,112,0,45,1,0,0,25,56,103,23,80
"A0A125YZN2",200,204,201,399,3,0,3,6,1,3,1,8,2,6,19,5,3,17,0,909,978,443,423,144,0,0,0,0,0,0,0,57,43,31,13,36,91,41,28,55
"A0A140JWS7",17,18,4,16,1,0,3,10,0,7,5,14,7,0,7,26,3,0,0,52,76,37,6,10,0,0,0,0,0,0,0,10,13,11,4,54,39,29,72,55
"A0A168WVR6",4,32,17,52,2,0,0,0,0,0,0,0,0,0,4,0,1,1,0,19,12,25,8,4,0,0,0,0,0,0,0,18,3,0,9,0,1,0,0,6
"A0A1B4XBG9",48,106,50,142,1,0,0,4,14,41,23,22,23,1,10,3,3,18,0,281,382,152,99,48,0,0,0,0,0,0,0,56,34,41,30,58,126,29,55,100
"A0A1P8AUY4",50,28,19,67,0,0,1,3,2,39,0,7,22,0,17,1,5,0,0,89,143,99,15,21,0,0,0,0,0,0,0,0,4,4,10,13,29,82,20,165
"A0A1U8QWA2",5,15,16,27,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,47,51,21,9,12,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
"A0A1W2P872",55,76,56,199,0,0,1,0,0,1,1,2,1,0,10,8,3,1,0,281,279,122,83,29,0,0,0,0,0,0,0,28,0,0,0,1,14,12,7,1
"A0A250YGJ5",707,330,182,522,3,0,1,0,0,2,1,1,1,1,1,2,1,22,0,1995,1590,700,1284,233,0,0,0,0,0,0,0,14,16,8,0,1,26,0,0,15
"A0A286R227",27,34,35,115,11,0,0,0,1,2,2,5,2,3,12,3,3,0,0,336,302,106,86,22,0,0,0,0,0,0,0,31,4,8,4,1,8,1,16,11
"A0A2I0BVG8",142,195,311,606,2,0,10,36,9,152,8,82,80,4,90,15,25,11,4,1126,1075,485,465,103,0,0,0,0,0,0,0,52,146,173,109,240,431,477,342,551
"A0A2N6JFX7",3,17,10,40,0,1,31,66,75,215,146,231,222,3,488,269,199,0,0,447,481,155,70,41,0,0,0,0,0,0,0,46,830,1077,824,598,1166,961,1223,815
"A0A2U8QPE6",3,2,8,29,0,0,1,0,0,1,0,2,0,2,1,1,0,3,0,89,94,40,44,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"A0A2Z4HPZ8",9,54,25,80,0,0,0,0,0,0,0,0,1,0,8,0,3,0,0,20,45,17,0,8,0,0,0,0,0,0,0,15,24,28,36,0,0,0,0,0
"A0A3S5YBC7",4,42,36,130,1,0,0,1,0,5,0,2,2,3,39,26,18,13,0,57,103,18,17,13,0,0,0,0,0,0,0,25,108,142,100,3,0,13,9,15
"A0A411EW25",29,32,11,98,0,0,0,0,1,36,1,2,8,2,1,0,1,0,0,271,256,113,74,30,0,0,0,0,0,0,0,11,1,0,0,0,1,0,0,0
"A0A411PQP8",70,44,36,63,2,0,0,1,0,3,2,2,3,2,5,1,1,0,3,159,218,65,46,53,0,0,0,0,0,0,0,0,4,8,7,4,15,0,6,6
"A0A482NAR8",13,2,0,0,0,0,0,0,0,0,0,1,0,0,23,2,19,1,0,66,110,36,0,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0
"A0A4V8H042",12,12,16,43,1,0,4,3,6,16,20,45,40,10,53,58,25,2,0,143,201,95,19,17,0,0,0,0,0,0,0,0,110,124,103,74,226,158,137,149
