Trial_ID,Experiment_Water,River,Population,Grouping,N,Location,Total,Percentage
AMHP11_NP_G2,0,0,0,1,10,5,6,60%
AMHP11_NP_G2,0,0,0,1,10,3,4,40%
AMHP11_NP_G2,0,0,0,1,10,1,0,0%
AMHP11_NP_G2,0,0,0,1,10,4,0,0%
AMHP11_NP_G2,0,0,0,1,10,2,0,0%
AMKO11_NP_G2,0,0,1,1,10,5,0,0%
AMKO11_NP_G2,0,0,1,1,10,3,9,90%
AMKO11_NP_G2,0,0,1,1,10,1,0,0%
AMKO11_NP_G2,0,0,1,1,10,4,0,0%
AMKO11_NP_G2,0,0,1,1,10,2,1,10%
APHP7_NP_G2,0,1,0,0,5,5,2,40%
APHP7_NP_G2,0,1,0,0,5,3,3,60%
APHP7_NP_G2,0,1,0,0,5,1,0,0%
APHP7_NP_G2,0,1,0,0,5,4,0,0%
APHP7_NP_G2,0,1,0,0,5,2,0,0%
AMKO13_NP_G2,0,0,1,1,5,5,2,40%
AMKO13_NP_G2,0,0,1,1,5,3,3,60%
AMKO13_NP_G2,0,0,1,1,5,1,0,0%
AMKO13_NP_G2,0,0,1,1,5,4,0,0%
AMKO13_NP_G2,0,0,1,1,5,2,0,0%
AMHP5_NP_G3,0,0,0,0,6,5,0,0%
AMHP5_NP_G3,0,0,0,0,6,3,0,0%
AMHP5_NP_G3,0,0,0,0,6,1,0,0%
AMHP5_NP_G3,0,0,0,0,6,4,0,0%
AMHP5_NP_G3,0,0,0,0,6,2,6,100%
APKO8_NP_G3,0,1,1,1,6,5,6,100%
APKO8_NP_G3,0,1,1,1,6,3,0,0%
APKO8_NP_G3,0,1,1,1,6,1,0,0%
APKO8_NP_G3,0,1,1,1,6,4,0,0%
APKO8_NP_G3,0,1,1,1,6,2,0,0%
APHP1_NP_G3,0,1,0,0,6,5,2,33%
APHP1_NP_G3,0,1,0,0,6,3,3,50%
APHP1_NP_G3,0,1,0,0,6,1,0,0%
APHP1_NP_G3,0,1,0,0,6,4,0,0%
APHP1_NP_G3,0,1,0,0,6,2,1,17%
AMKO19_NP_G3,0,0,1,1,6,5,2,33%
AMKO19_NP_G3,0,0,1,1,6,3,2,33%
AMKO19_NP_G3,0,0,1,1,6,1,0,0%
AMKO19_NP_G3,0,0,1,1,6,4,0,0%
AMKO19_NP_G3,0,0,1,1,6,2,2,33%
APKO9_NP_G3,0,1,1,1,6,5,2,33%
APKO9_NP_G3,0,1,1,1,6,3,2,33%
APKO9_NP_G3,0,1,1,1,6,1,0,0%
APKO9_NP_G3,0,1,1,1,6,4,0,0%
APKO9_NP_G3,0,1,1,1,6,2,2,33%
APHP16_NP_G4,0,1,0,0,6,5,1,17%
APHP16_NP_G4,0,1,0,0,6,3,2,33%
APHP16_NP_G4,0,1,0,0,6,1,0,0%
APHP16_NP_G4,0,1,0,0,6,4,0,0%
APHP16_NP_G4,0,1,0,0,6,2,3,50%
AMHP5_NP_G4,0,0,0,0,6,5,3,50%
AMHP5_NP_G4,0,0,0,0,6,3,1,17%
AMHP5_NP_G4,0,0,0,0,6,1,0,0%
AMHP5_NP_G4,0,0,0,0,6,4,1,17%
AMHP5_NP_G4,0,0,0,0,6,2,1,17%
APKO9_NP_G4,0,1,1,1,6,5,0,0%
