Mcav_protein_seq,Human_gene_name,Human_gene_pfam,Orthogroup,Entry
Mcav_TRINITY_GG_10405_c8_g1_i4.p1,NP_000538.3,PF12947.11,OG0003424,Q15375
Mcav_TRINITY_GG_11185_c0_g1_i1.p1,NP_000538.3,PF12661.11,OG0000173,P49013
Mcav_TRINITY_GG_11185_c0_g1_i1.p1,NP_000538.3,PF07645.19,OG0000173,P49013
Mcav_TRINITY_GG_11185_c0_g1_i1.p1,NP_000538.3,PF00008.31,OG0000173,P49013
Mcav_TRINITY_GG_11335_c12_g1_i5.p1,NP_000778.3,PF03351.21,OG0001391,A4QP81
Mcav_TRINITY_GG_11705_c0_g1_i1.p1,NP_690863.1,PF13450.10,OG0000658,Q21565
Mcav_TRINITY_GG_11705_c0_g1_i1.p1,NP_000889.3,PF13450.10,OG0000658,Q21565
Mcav_TRINITY_GG_11705_c0_g1_i1.p1,NP_000231.1,PF13450.10,OG0000658,Q21565
Mcav_TRINITY_GG_11823_c0_g1_i1.p1,NP_000538.3,PF00084.24,OG0002986,Q923L3
Mcav_TRINITY_GG_11837_c50_g1_i1.p1,NP_000538.3,PF00008.31,OG0000323,Q14517
Mcav_TRINITY_GG_11837_c50_g1_i1.p1,NP_000538.3,PF07645.19,OG0000323,Q14517
Mcav_TRINITY_GG_11837_c50_g1_i1.p1,NP_000538.3,PF12661.11,OG0000323,Q14517
Mcav_TRINITY_GG_11837_c50_g1_i1.p1,NP_000538.3,PF12947.11,OG0000323,Q14517
Mcav_TRINITY_GG_1208_c2_g1_i2.p1,NP_000541.1,PF21314.1,OG0003098,NA
Mcav_TRINITY_GG_1208_c2_g1_i2.p1,NP_000538.3,PF00084.24,OG0003098,NA
Mcav_TRINITY_GG_12148_c7_g1_i1.p1,NP_002677.1,PF13489.10,OG0003119,Q4KLT3
Mcav_TRINITY_GG_12148_c7_g1_i1.p1,NP_000745.1,PF13847.10,OG0003119,Q4KLT3
Mcav_TRINITY_GG_12184_c1_g1_i1.p1,NP_000538.3,PF03098.19,OG0000170,Q6TMK4
Mcav_TRINITY_GG_12375_c3_g1_i1.p1,NP_000538.3,PF12947.11,OG0002909,Q9W7R3
Mcav_TRINITY_GG_12375_c3_g1_i1.p1,NP_000541.1,PF07974.17,OG0002909,Q9W7R3
Mcav_TRINITY_GG_12375_c3_g1_i1.p1,NP_000538.3,PF12662.11,OG0002909,Q9W7R3
Mcav_TRINITY_GG_12375_c4_g1_i2.p1,NP_000538.3,PF12662.11,OG0005162,P10079
Mcav_TRINITY_GG_12375_c4_g1_i2.p1,NP_000538.3,PF00008.31,OG0005162,P10079
Mcav_TRINITY_GG_12375_c4_g1_i2.p1,NP_000538.3,PF12947.11,OG0005162,P10079
Mcav_TRINITY_GG_12375_c4_g1_i2.p1,NP_000541.1,PF07974.17,OG0005162,P10079
