"mcav_gene_name","human_gene_name","human_gene_pfam","orthogroup","entry"
"","NP_000344.1","PF07706.16",NA,NA
"","NP_000363.1","PF21094.1",NA,NA
"","NP_000684.2","PF04936.16",NA,NA
"","NP_690863.1","PF14084.10",NA,NA
"Mcav_TRINITY_GG_10041_c5_g1_i1.p1","NP_000538.3","PF12662.11",NA,NA
"Mcav_TRINITY_GG_10041_c5_g1_i1.p1","NP_000538.3","PF00008.31",NA,NA
"Mcav_TRINITY_GG_10041_c5_g1_i1.p1","NP_000538.3","PF12947.11",NA,NA
"Mcav_TRINITY_GG_10041_c5_g1_i1.p1","NP_000538.3","PF07645.19",NA,NA
"Mcav_TRINITY_GG_10041_c5_g1_i1.p1","NP_000538.3","PF14670.10",NA,NA
"Mcav_TRINITY_GG_10041_c5_g1_i1.p1","NP_000538.3","PF12661.11",NA,NA
"Mcav_TRINITY_GG_10041_c8_g1_i1.p1","NP_000538.3","PF12662.11",NA,NA
"Mcav_TRINITY_GG_10041_c8_g1_i1.p1","NP_000538.3","PF00008.31",NA,NA
"Mcav_TRINITY_GG_10041_c8_g1_i1.p1","NP_000538.3","PF12947.11",NA,NA
"Mcav_TRINITY_GG_10041_c8_g1_i1.p1","NP_000538.3","PF12661.11",NA,NA
"Mcav_TRINITY_GG_10041_c8_g1_i1.p1","NP_000538.3","PF07645.19",NA,NA
"Mcav_TRINITY_GG_10041_c8_g1_i1.p1","NP_000538.3","PF14670.10",NA,NA
"Mcav_TRINITY_GG_10046_c0_g1_i2.p1","NP_000538.3","PF00008.31",NA,NA
"Mcav_TRINITY_GG_10046_c0_g1_i2.p1","NP_000538.3","PF12947.11",NA,NA
"Mcav_TRINITY_GG_10046_c0_g1_i2.p1","NP_000538.3","PF12662.11",NA,NA
"Mcav_TRINITY_GG_10046_c0_g1_i2.p1","NP_000538.3","PF12661.11",NA,NA
"Mcav_TRINITY_GG_10046_c0_g1_i2.p1","NP_000538.3","PF07645.19",NA,NA
"Mcav_TRINITY_GG_10046_c0_g1_i2.p1","NP_000538.3","PF14670.10",NA,NA
"Mcav_TRINITY_GG_10054_c13_g1_i1.p1","NP_000538.3","PF00008.31",NA,NA
"Mcav_TRINITY_GG_10054_c13_g1_i1.p1","NP_000538.3","PF12947.11",NA,NA
"Mcav_TRINITY_GG_10054_c13_g1_i1.p1","NP_000538.3","PF12662.11",NA,NA
"Mcav_TRINITY_GG_10054_c13_g1_i1.p1","NP_000538.3","PF07645.19",NA,NA
"Mcav_TRINITY_GG_10054_c13_g1_i1.p1","NP_000538.3","PF14670.10",NA,NA
