"accession","variable","value"
"","target_name",", , , , , , , , "
"PF00053.28","target_name","NP_000363.1, XP_015755076.1, XP_002123040.3, XP_022782250.1, NP_035791.1"
"PF00264.24","target_name","NP_000363.1, NP_035791.1, XP_002123040.3, XP_015755076.1, XP_022782250.1, XP_032218868.1, XP_021339183.1, XP_027042604.1, XP_012564604.2, NP_001292221.1, Mcav_TRINITY_GG_20672_c1_g1_i1.p1, XP_028398038.1, NP_476812.1, XP_316323.3, NP_524760.1, XP_019858846.1, XP_001650638.2, XP_027236657.1"
"PF00372.23","target_name","NP_524760.1, NP_476812.1, XP_001650638.2, XP_316323.3, XP_027236657.1, XP_019858846.1"
"PF01826.21","target_name","NP_001292221.1"
"PF03722.18","target_name","NP_476812.1, NP_524760.1, XP_316323.3, XP_027236657.1, XP_001650638.2"
"PF03723.18","target_name","NP_524760.1, XP_316323.3, XP_001650638.2, NP_476812.1, XP_027236657.1, XP_019858846.1"
"PF05777.16","target_name","XP_002123040.3"
"PF06305.15","target_name","NP_035791.1, NP_000363.1"
"PF07974.17","target_name","XP_015755076.1"
"PF12669.11","target_name","XP_002123040.3"
"PF21094.1","target_name","NP_000363.1, NP_035791.1"
