Entry,USVI_118_A,UVI_092_B,UVI_094_B,UVI_096_B,UVI_108_B,UVI_132_B,UVI_092_C,UVI_094_C,UVI_100_C,UVI_102_C,UVI_104_C,UVI_106_C,UVI_108_C,UVI_132_C,UVI_136_C,UVI_138_C,UVI_106_D,Past_d1_A,Past_d2_A,Past_d3_A,Past_d6_A,Past_d7_A,O_d3_B,O_d6_B,O_d7_B,O_d8_B,Pstr_d7_B,M_d1_C,M_d3_C,M_d6_C,O_d1_C,O_d3_C,O_d6_C,O_d7_C,O_d8_C,Past_d1_D
A0A011QK89,0,0,0,0,0,0,13,24,19,103,58,82,107,160,138,111,0,0,0,0,0,0,0,0,0,0,0,160,150,185,153,267,145,145,210,0
A0A023I7E1,147,4,6,26,0,0,1.266,13.977,1,57.861,3,7,55.634,16,4,5,7,409.998,315.626,11,62,46,0,0,0,0,4,0,0,0,19.942,50.152,81.123,51.11,98.89,0
A0A024SH76,204,0,0,0,0,0,1,0,0,13,2,1,2,25,8,8,0,976,545,273,395,40,0,0,0,0,0,0,0,0,0,0,0,0,2,0
A0A024SNB7,0,18,32,111,0,0,0,0,0,0,0,8,0,0,0,0,5,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
A0A060A682,0,0,0,0,0,0,0,1,0,1,0,1,4,11,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,1,0
A0A067XMP1,173,47,63,122,5,0,153,163,344,976,655,1010,1260,2084.768,1090.273,1081,18,369,352,156,50,62,0,0,0,0,12,3,4,16,970,1433,1442,1296,1046,0
A0A067YMX8,0,0,0,0,0,0,0,0,0,7,0,13,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,10,30,18,0,0,0,0,0,0
A0A068FIK2,26,32,27,92,0,1,0,0,0,0,0,8,0,0,0,0,0,193,251,114,23,12,0,0,0,0,4,0,0,0,0,0,0,0,0,0
A0A075HNX4,0,0,0,0,0,0,0,1,3,12,0,2,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,6,39,6,2,27,41,30,23,0
A0A075TJ05,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A076FF10,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
A0A076FFM5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A078CGE6,0,0,0,0,0,0,0,0,0,8,0,0,3,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A078IS66,3,141,88,192,0,0,0,0,0,0,0,28,1,0,0,0,1,6,28.336,5,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
A0A078ISJ6,156,51,41,144,1,0,0,0,5,6,0,8,0,1,3,5,4,337,372,100,123,43,0,0,0,0,0,0,0,0,0,1,6,1,3,0
A0A084AFG6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,26,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A084R1J7,0,0,0,0,0,0,1,0,0,0,0,0,7,46,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,3,0
A0A084R1K2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,25,13,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A089QRB9,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,376,127,169,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A095C325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A096X8J7,46.847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,239.662,284.563,143.524,46.116,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A096XJN4,0,58,61,175,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0A0LLY1,0,104,89,135,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0
A0A0A0RM07,13,188,158.193,451,8,0,21,36,2,4.061,1,15,1,312.019,177,224,13,33,121,39,7,3,0,0,0,0,36,9.696,3,10,370,568,484,251,596,0
A0A0A6YYL3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0A6ZFR4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0B4KGY6,0,185.978,126.101,268.903,3,0,10,4,40,114,77,118,93.502,74,39,44,3,0,0,0,0,0,0,0,0,0,38,12,17,23,112,137,157,46,104,0
