mcav_gene_name,orthogroup,entry
Mcav_TRINITY_GG_28509_c7_g1_i1.p1,OG0002679,Q6N069
Mcav_TRINITY_GG_50575_c31_g1_i3.p1,OG0002397,P48507
Mcav_TRINITY_GG_51684_c0_g1_i1.p1,OG0010719,Q12288
Mcav_TRINITY_GG_50956_c3_g1_i1.p1,OG0011979,NA
Mcav_TRINITY_GG_53657_c15_g2_i1.p1,OG0002388,Q3SZ71
Mcav_TRINITY_GG_32379_c2_g1_i1.p1,OG0003283,Q3UQ28
Mcav_TRINITY_GG_26433_c2_g1_i1.p1,OG0002438,E1BYJ2
Mcav_TRINITY_GG_19747_c6_g1_i1.p2,OG0002132,A7RUD5
Mcav_TRINITY_GG_17958_c0_g1_i1.p1,OG0000125,P43141
Mcav_TRINITY_GG_1097_c10_g1_i2.p1,OG0008299,NA
Mcav_TRINITY_GG_16124_c8_g1_i1.p1,OG0007300,Q0IJ33
Mcav_TRINITY_GG_41023_c154_g1_i1.p1,OG0010360,Q6NZ06
Mcav_TRINITY_GG_21738_c3_g1_i1.p1,OG0001527,NA
Mcav_TRINITY_GG_60416_c3_g1_i1.p1,OG0000941,P35234
Mcav_TRINITY_GG_38469_c3_g1_i3.p1,OG0003259,NA
Mcav_TRINITY_GG_2471_c1_g1_i2.p1,OG0008673,Q9NW38
Mcav_TRINITY_GG_21018_c1_g2_i1.p1,OG0000597,Q13231
Mcav_TRINITY_GG_61031_c11_g2_i1.p1,OG0000591,NA
Mcav_TRINITY_GG_10209_c0_g1_i1.p1,OG0000135,NA
Mcav_TRINITY_GG_23387_c1_g1_i1.p1,OG0000782,NA
Mcav_TRINITY_GG_13787_c2_g1_i1.p1,OG0011302,Q9P055
Mcav_TRINITY_GG_33755_c32_g1_i1.p1,OG0000952,P78527
Mcav_TRINITY_GG_23949_c11_g1_i1.p1,OG0010165,Q6DGL7
Mcav_TRINITY_GG_56860_c9_g1_i2.p1,OG0002965,A7RP64
Mcav_TRINITY_GG_48379_c0_g1_i1.p1,OG0007933,Q63398
Mcav_TRINITY_GG_23610_c0_g1_i2.p1,OG0006251,Q8C4J0
Mcav_TRINITY_GG_29681_c7_g1_i1.p1,OG0002672,P49756
Mcav_TRINITY_GG_10213_c4_g1_i3.p1,OG0005928,Q9Y6D9
Mcav_TRINITY_GG_23417_c5_g1_i2.p1,OG0012769,Q9WUJ3
Mcav_TRINITY_GG_5822_c5_g1_i1.p1,OG0004917,P26818
Mcav_TRINITY_GG_27928_c0_g1_i1.p1,OG0002098,Q9Y2H2
Mcav_TRINITY_GG_7068_c8_g1_i1.p1,OG0005854,Q9WVL0
Mcav_TRINITY_GG_8173_c0_g1_i1.p1,OG0004942,A5PK16
Mcav_TRINITY_GG_17991_c6_g1_i3.p1,OG0006114,Q3TLI0
Mcav_TRINITY_GG_22673_c10_g1_i1.p1,OG0005915,Q99549
Mcav_TRINITY_GG_42830_c2_g1_i1.p2,OG0005077,Q3SWX0
Mcav_TRINITY_GG_25935_c110_g1_i1.p1,OG0006034,O00267
Mcav_TRINITY_GG_38362_c1_g1_i1.p1,OG0011837,Q4V7C7
Mcav_TRINITY_GG_60395_c4_g1_i2.p3,OG0005416,A7SUU7
Mcav_TRINITY_GG_45052_c6_g1_i1.p1,OG0003270,P40826
Mcav_TRINITY_GG_15490_c46_g1_i2.p1,OG0000169,Q29496
Mcav_TRINITY_GG_31561_c3_g1_i1.p1,OG0007816,P87362
Mcav_TRINITY_GG_19424_c0_g1_i1.p1,OG0008948,Q8K4H1
Mcav_TRINITY_GG_33775_c2_g1_i1.p1,OG0004380,A4FUW8
Mcav_TRINITY_GG_16323_c3_g1_i1.p1,OG0000478,Q98TR7
Mcav_TRINITY_GG_3042_c108_g2_i1.p1,OG0001508,NA
Mcav_TRINITY_GG_23664_c20_g1_i1.p1,OG0010978,O60762
Mcav_TRINITY_GG_27990_c20_g1_i1.p1,OG0012255,Q7ZXY0
Mcav_TRINITY_GG_49590_c5_g1_i2.p1,OG0005968,Q9QUQ5
Mcav_TRINITY_GG_35938_c11_g1_i2.p1,OG0005720,P26636
Mcav_TRINITY_GG_18742_c7_g1_i1.p1,OG0002415,Q5R903
Mcav_TRINITY_GG_28482_c9_g1_i1.p1,OG0002286,Q5R8M9
Mcav_TRINITY_GG_43502_c3_g1_i1.p1,OG0004339,Q80ZX8
Mcav_TRINITY_GG_21530_c1_g1_i1.p1,OG0006615,Q6PAX8
Mcav_TRINITY_GG_55860_c1_g1_i1.p1,OG0007635,Q62985
Mcav_TRINITY_GG_16218_c0_g1_i1.p1,OG0004391,NA
Mcav_TRINITY_GG_6247_c1_g1_i1.p1,OG0010384,Q6DJE4
Mcav_TRINITY_GG_55617_c8_g1_i1.p1,OG0006899,O55029
Mcav_TRINITY_GG_41023_c195_g1_i2.p2,OG0005686,Q3T108
Mcav_TRINITY_GG_51210_c16_g1_i1.p1,OG0002029,O70251
Mcav_TRINITY_GG_1799_c5_g2_i1.p1,OG0004220,NA
Mcav_TRINITY_GG_20905_c1_g1_i1.p1,OG0002592,P62907
Mcav_TRINITY_GG_41354_c19_g1_i1.p1,OG0001569,Q14667
Mcav_TRINITY_GG_28689_c2_g1_i2.p1,OG0003741,Q8IVV2
Mcav_TRINITY_GG_234_c4_g1_i1.p1,OG0003930,A2AVQ5
Mcav_TRINITY_GG_48985_c10_g1_i2.p1,OG0000446,Q95029
Mcav_TRINITY_GG_26198_c6_g1_i1.p1,OG0005639,Q16537
Mcav_TRINITY_GG_56586_c3_g1_i1.p1,OG0005664,Q147X3
Mcav_TRINITY_GG_9392_c13_g1_i2.p1,OG0008636,P54198
Mcav_TRINITY_GG_54855_c1_g1_i1.p1,OG0005977,Q69ZR9
Mcav_TRINITY_GG_15465_c3_g3_i1.p1,OG0008855,A8K8P3
Mcav_TRINITY_GG_54171_c1_g1_i1.p1,OG0010607,NA
Mcav_TRINITY_GG_39387_c16_g1_i1.p1,OG0002425,Q5E985
Mcav_TRINITY_GG_14581_c2_g1_i1.p1,OG0000726,Q8BTI9
Mcav_TRINITY_GG_24226_c4_g2_i1.p1,OG0011274,NA
Mcav_TRINITY_GG_55296_c1_g1_i1.p1,OG0012344,B2RQL2
Mcav_TRINITY_GG_30541_c1_g1_i1.p1,OG0003975,P17702
Mcav_TRINITY_GG_41044_c0_g1_i1.p1,OG0005104,A7MBP4
Mcav_TRINITY_GG_30282_c14_g1_i3.p1,OG0004189,Q9D2K4
Mcav_TRINITY_GG_56833_c4_g1_i2.p1,OG0003280,P42345
Mcav_TRINITY_GG_24217_c13_g1_i1.p1,OG0001025,P41233
Mcav_TRINITY_GG_16068_c0_g1_i2.p1,OG0011412,Q9BQA1
