Entry,A,B,C,D,Total
A0A024SH76,1,0,0,0,1
A0A024SNB7,0,1,1,1,3
A0A060A682,0,0,1,1,2
A0A067XMP1,1,1,0,1,3
A0A068FIK2,1,1,1,0,3
A0A078CGE6,0,0,1,0,1
A0A078IS66,1,1,1,1,4
A0A078ISJ6,1,1,1,1,4
A0A084R1J7,0,1,1,0,2
A0A084R1K2,1,0,0,0,1
A0A089QRB9,0,0,1,0,1
A0A095C325,1,0,0,0,1
A0A096P8D3,1,1,1,1,4
A0A096XJN4,0,1,0,0,1
A0A0A0RM07,1,0,0,1,2
A0A0A6ZFR4,0,1,1,0,2
A0A0B5KU17,0,0,1,0,1
A0A0B6VQ48,1,1,1,1,4
A0A0B7P9G0,0,0,1,1,2
A0A0C3VJP4,1,0,0,0,1
A0A0C5PRQ1,0,1,0,0,1
A0A0C5URS1,0,0,1,0,1
A0A0D1BUH6,0,0,1,0,1
A0A0D2YG06,0,1,0,0,1
A0A0D3QS97,0,0,0,1,1
A0A0D3QS99,1,1,0,0,2
A0A0G2K047,0,0,1,0,1
A0A0G2K1Q8,1,1,0,1,3
A0A0H2VBH0,1,0,0,0,1
A0A0H2VDN9,1,1,1,1,4
A0A0H2VG78,0,0,0,1,1
A0A0H3JRU9,0,0,1,0,1
A0A0H3K6J4,1,0,0,0,1
A0A0H3LKL4,1,1,0,0,2
A0A0I9QGZ2,1,1,1,1,4
A0A0K9RDW0,0,0,1,1,2
A0A0L0P4F8,1,0,0,0,1
A0A0L0P6P7,0,0,1,0,1
A0A0M3R8G1,1,0,0,0,1
A0A0M5K865,1,0,1,0,2
A0A0P0VG31,1,0,0,0,1
A0A0P0WGX7,1,0,1,0,2
A0A0P0X004,1,1,1,1,4
A0A0P0XB70,1,1,0,0,2
A0A0P0XM10,0,1,0,0,1
A0A0P6JG37,1,1,1,0,3
A0A0R4I9Y1,1,0,1,1,3
A0A0R4IBK5,1,1,1,1,4
A0A0R4IC37,0,0,1,0,1
A0A0R4IEW8,0,0,0,1,1
A0A0R4IF99,1,0,0,0,1
A0A0R4IKJ1,1,1,1,1,4
A0A0R4IMY7,1,1,0,0,2
A0A0R4IVA4,0,0,0,1,1
A0A140IL92,0,1,0,0,1
A0A140JWS7,1,1,1,1,4
A0A140LI88,0,1,1,0,2
A0A140N890,0,1,1,1,3
A0A166YZW0,0,0,1,0,1
A0A166YZY4,0,0,1,0,1
A0A166YZY9,1,0,1,0,2
A0A167LUQ4,0,0,1,1,2
A0A168WVR6,1,1,1,1,4
A0A1B4XBG9,1,1,1,1,4
A0A1B7YCL6,0,0,0,1,1
A0A1C3YKE0,0,1,1,1,3
A0A1C7D1B7,1,1,0,1,3
A0A1D3PCM3,0,0,1,1,2
A0A1D5P556,1,0,1,1,3
A0A1D6IEG9,1,0,0,1,2
A0A1D6KL43,1,0,0,0,1
A0A1D6LAB7,0,0,1,0,1
A0A1E1FFL6,0,0,0,1,1
A0A1L5BUX8,0,1,0,0,1
A0A1L5YRA2,0,0,1,0,1
A0A1L8G016,0,0,1,0,1
A0A1L8GXY4,0,1,1,0,2
A0A1L8HCK2,0,1,1,0,2
A0A1L8HU22,1,0,0,0,1
A0A1L9U7P9,0,1,0,0,1
A0A1P8AUY4,1,1,1,1,4
A0A1P8AW69,0,1,0,1,2
A0A1P8B554,1,0,0,0,1
A0A1S4A695,0,1,0,0,1
A0A1U8QJR1,0,1,1,1,3
A0A1U8QN18,1,0,0,0,1
A0A1U8QP15,0,0,0,1,1
A0A1U8QTJ9,1,0,1,1,3
A0A1V0QSF1,1,0,0,0,1
A0A1X9QDU5,0,0,1,1,2
A0A1Z3GBS4,0,0,1,1,2
A0A248QE08,0,0,0,1,1
A0A254TZW7,0,1,0,0,1
A0A286LF01,1,0,0,0,1
A0A286R227,1,1,1,1,4
A0A2A5K5H4,1,0,1,1,3
A0A2G5I8W0,1,0,1,1,3
A0A2H3D905,0,0,0,1,1
A0A2H5AIZ1,1,0,0,0,1
A0A2H5AIZ9,0,0,1,0,1
A0A2I0BVG8,1,1,1,1,4
A0A2I1BSZ6,1,0,0,0,1
A0A2P1BRP3,0,0,0,1,1
A0A2R6X6S3,1,0,0,0,1
A0A2R8Q1W5,0,1,1,0,2
A0A2U8QPE6,0,1,1,0,2
A0A2V5GSC6,1,0,0,0,1
A0A2Z5CV93,1,0,0,0,1
A0A2Z5CVA1,0,0,1,0,1
A0A2Z5VKM8,0,1,1,0,2
A0A345BJN8,0,0,0,1,1
A0A383ZFX3,0,1,1,1,3
A0A3G1DJF4,0,1,0,0,1
