"","USVI_118_A","UVI_092_B","UVI_094_B","UVI_096_B","UVI_108_B","UVI_132_B","UVI_092_C","UVI_094_C","UVI_100_C","UVI_102_C","UVI_104_C","UVI_106_C","UVI_108_C","UVI_132_C","UVI_136_C","UVI_138_C","UVI_106_D","Past_d1_A","Past_d2_A","Past_d3_A","Past_d6_A","Past_d7_A","O_d3_B","O_d6_B","O_d7_B","O_d8_B","Pstr_d7_B","M_d1_C","M_d3_C","M_d6_C","O_d1_C","O_d3_C","O_d6_C","O_d7_C","O_d8_C","Past_d1_D"
"A0A011QK89",0,0,0,0,0,0,7,13,10,59,35,44,60,91,91,72,0,0,0,0,0,0,0,0,0,0,0,236,233,266,237,412,245,245,325,0
"A0A023I7E1",147,2,3,13,0,0,1,12,1,54,2,4,51,9,2,3,7,454,354,21,84,52,0,0,0,0,6,0,0,0,29,69,100,69,114,0
"A0A024SH76",439,0,0,0,0,0,1,0,0,10,1,1,1,22,5,6,0,713,437,211,298,39,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"A0A024SNB7",0,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0
"A0A060A682",0,0,0,0,0,0,0,1,0,1,0,1,2,4,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,11,1,0
"A0A067XMP1",22,4,6,11,1,0,55,50,134,353,258,373,480,826,437,450,3,1226,1135,499,222,193,0,0,0,0,41,20,27,73,2088,3140,3129,2849,2321,0
"A0A067YMX8",0,0,0,0,0,0,0,0,0,5,0,15,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,14,33,21,0,0,0,0,0,0
"A0A068FIK2",24,32,27,99,0,1,0,0,0,0,0,7,0,0,0,0,0,197,242,110,29,14,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"A0A075HNX4",0,0,0,0,0,0,0,1,4,16,0,3,1,9,3,0,0,0,0,0,0,0,0,0,0,0,0,6,31,6,3,23,33,25,20,0
"A0A075TJ05",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A076FF10",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"A0A076FFM5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A078CGE6",0,0,0,0,0,0,0,0,0,8,0,0,3,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A078IS66",1,67,38,81,0,0,0,0,0,0,0,9,1,0,0,0,1,31,89,20,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
"A0A078ISJ6",163,38,31,128,1,0,0,0,3,2,0,3,0,1,1,2,3,401,421,124,154,52,0,0,0,0,0,0,0,0,0,1,15,1,9,0
"A0A084AFG6",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,15,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A084R1J7",0,0,0,0,0,0,1,0,0,0,0,0,2,10,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,11,0
"A0A084R1K2",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A089QRB9",301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A095C325",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A096X8J7",86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,92,139,78,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A096XJN4",0,58,61,175,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A0A0LLY1",0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0
"A0A0A0RM07",4,121,103,309,5,0,15,25,1,2,1,6,1,228,133,178,8,79,220,75,20,8,0,0,0,0,49,20,9,22,476,738,636,357,753,0
"A0A0A6YYL3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A0A6ZFR4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A0B4KGY6",0,73,43,84,1,0,3,1,22,50,45,56,30,11,6,10,1,0,0,0,0,0,0,0,0,0,62,43,59,66,219,292,317,134,225,0
"A0A0B5KU17",0,0,0,0,0,0,0,0,1,2,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,8,4,0
"A0A0B5RUB0",118,128,92,316,6,0,0,0,0,0,0,0,0,0,0,0,0,669,409,242,200,42,0,0,0,0,25,0,0,0,0,0,0,0,0,0
"A0A0B6VQ48",48,6,0,14,0,0,1,0,11,21,24,70,27,45,28,27,5,110,195,76,12,28,0,0,0,0,0,91,89,157,68,97,96,39,98,0
"A0A0B7P9G0",0,0,0,0,0,0,48,157,1,7,4,2,6,95,42,21,0,0,0,0,0,0,0,0,0,0,0,137,119,94,361,944,696,449,825,0
"A0A0C3VJP4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A0C5PRQ1",0,9,21,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
