"","pvalue"
"P14832",0.07936486314007
"O24174",0.945268853594938
"O65493",0.777470023920394
"Q52KZ7",0.0798499016193858
"Q08288",0.082260603105827
"Q7ZVX6",0.784137077257199
"A3DBX3",0.0788340597473762
"P33160",0.0822776233321134
"Q9LFN3",0.947763261147441
"F4KD71",0.852529965738588
"Q8TE73",0.935561714282663
"Q5JK84",0.0790322252265797
"Q9T0D6",0.037540756408054
"A5D9W7",0.993195576683327
"O81852",0.0782461287662334
"Q5RBU7",0.084146937355291
"P81900",0.933283075335307
"Q9P225",0.0851305919436582
"Q8ZRS8",0.973078480449376
"Q8ILC1",0.897514883448523
"A1Z9G2",0.954760899769178
"Q9Z244",0.961385810721242
"P49471",0.933789814698496
"P22045",0.891690141977546
"Q9QZU7",0.975824953764
"Q86TL2",0.883633418476228
"Q9LK09",0.989983772449242
"O60285",0.678243827899417
"Q9BLG3",0.992724888677167
"A2WY46",0.676469026368052
"Q5ZM55",0.958495222944233
"Q07176",0.831123921467288
"Q8JGM4",0.910612292152263
"P49096",0.941015452552709
"P53476",0.577172633986573
"Q70LM5",0.507267586459399
"A0A0P6JG37",0.891398960202764
"Q4H2R2",0.991252802217302
"Q9M7R0",0.966334676964963
"P51903",0.96262085957794
"Q8QZR1",0.561783946574491
"P43510",0.576774754857518
"P10770",0.637469014238548
"Q70LM4",0.963330618869344
"P00110",0.967273863478906
"Q9ZT82",0.63773138862162
"Q8H1Z0",0.895033943959036
"Q07949",0.482661559593986
"P57103",0.9566025175787
"Q96M86",0.857203902894771
"Q8VCH0",0.916243231776598
"P43156",0.984545872799942
"Q9AV39",0.975219444826408
"P79403",0.954944002022657
"O74856",0.951728617598035
"P21439",0.616075402771751
"Q54LX0",0.876546242776362
"Q9SIP7",0.688911056091442
"Q553V1",0.92883317914261
"B3QVL0",0.5772774375122
"P72991",0.573094760240452
"Q54VN6",0.977176156851826
"Q63184",0.931218364480452
"Q9SF40",0.604028036395244
"Q6DEH3",0.90981691192654
"Q07598",0.609675545294874
"P53152",0.976315316860555
"P27766",0.952341210518176
"O08962",0.906909447425958
"Q1ACM8",0.952958504129387
"O65001",0.975844151940751
"P49118",0.963024428175842
"Q3SYS4",0.748707509976145
"Q76C99",0.980718124564133
"O52025",0.768223233871962
"Q5N870",0.626316115070988
"P35600",0.700345478950826
"P42042",0.906836330757763
"B3VQ24",0.951112992879054
"Q9DCM0",0.969141555305097
"Q6K9G1",0.798539747145149
"Q9FVJ3",0.730059899698051
"Q93YS4",0.610489955933654
"P11024",0.98944841922387
"A3AF13",0.958810656740183
"Q54NS8",0.992452575941717
"Q92887",0.932071271299113
"Q8T126",0.256960475829889
"P41561",0.699852908938726
"Q9NZ45",0.964596027136939
"Q9C641",0.93288511743197
"P04919",0.994301230217125
"Q13237",0.632135138217862
"P35129",0.972738101676365
"P02598",0.711879062314514
"P14540",0.719607303432344
"O34812",0.99211547035957
"P46794",0.712911144331848
"A2ZVI7",0.896019965474254
"Q96N23",0.828737475567961
