human_gene_name,human_gene_pfam,tyrosinase_updated_gene_name
NP_000128.1,PF01557.22,
NP_000128.1,PF09298.15,
NP_000178.2,PF04209.17,
NP_000178.2,PF20510.2,
NP_000231.1,PF01262.25,
NP_000231.1,PF01593.28,
NP_000231.1,PF01266.28,
NP_000231.1,PF00890.28,
NP_000231.1,PF01494.23,
NP_000231.1,PF12831.11,
NP_000231.1,PF01134.26,
NP_000231.1,PF03486.18,
NP_000231.1,PF05834.16,
NP_000231.1,PF07687.18,
NP_000231.1,PF06100.15,
NP_000231.1,PF21799.1,
NP_000231.1,PF13450.10,
NP_000231.1,PF13454.10,
NP_000231.1,PF00070.31,
NP_000231.1,PF07992.18,
NP_000231.1,PF13738.10,
NP_000231.1,PF01946.21,
NP_000231.1,PF02254.22,
NP_000344.1,PF00155.25,
NP_000344.1,PF00266.23,
NP_000344.1,PF12897.11,
NP_000344.1,PF01212.25,
NP_000344.1,PF01053.24,
NP_000344.1,PF01041.21,
NP_000344.1,PF07706.16,
NP_000363.1,PF00053.28,"NP_000363.1, XP_015755076.1, XP_002123040.3, XP_022782250.1, NP_035791.1"
NP_000363.1,PF06305.15,"NP_035791.1, NP_000363.1"
NP_000363.1,PF21094.1,"NP_000363.1, NP_035791.1"
NP_000363.1,PF00264.24,"NP_000363.1, NP_035791.1, XP_002123040.3, XP_015755076.1, XP_022782250.1, XP_032218868.1, XP_021339183.1, XP_027042604.1, XP_012564604.2, NP_001292221.1, Mcav_TRINITY_GG_20672_c1_g1_i1.p1, XP_028398038.1, NP_476812.1, XP_316323.3, NP_524760.1, XP_019858846.1, XP_001650638.2, XP_027236657.1"
NP_000538.3,PF03098.19,
NP_000538.3,PF12662.11,
NP_000538.3,PF00008.31,
NP_000538.3,PF12947.11,
NP_000538.3,PF07645.19,
NP_000538.3,PF14670.10,
NP_000538.3,PF12661.11,
NP_000538.3,PF01462.22,
NP_000538.3,PF00084.24,
NP_000541.1,PF06365.16,
NP_000541.1,PF11174.12,
NP_000541.1,PF07974.17,XP_015755076.1
NP_000541.1,PF00053.28,"NP_000363.1, XP_015755076.1, XP_002123040.3, XP_022782250.1, NP_035791.1"
NP_000541.1,PF21314.1,
