"","pvalue"
"Q9T0D6",0.037540756408054
"O81852",0.0782461287662334
"A3DBX3",0.0788340597473762
"Q5JK84",0.0790322252265797
"P14832",0.07936486314007
"Q52KZ7",0.0798499016193858
"Q08288",0.082260603105827
"P33160",0.0822776233321134
"Q5RBU7",0.084146937355291
"Q9P225",0.0851305919436582
"F4IS56",0.264662507819552
"Q8T126",0.256960475829889
"A7MB73",0.286911462841087
"Q09445",0.273342254626367
"Q87JZ5",0.328341315344319
"F4I1X0",0.315432505148235
"Q9KQH0",0.353514274182378
"Q41005",0.387913241205693
"O08437",0.361440046622186
"Q5EA24",0.383112222802501
"Q8TZB4",0.41243658153197
"P87131",0.353448183774566
"O24308",0.463250179616951
"Q5F3A6",0.410889375103658
"P12368",0.530202852013985
"Q9FZE1",0.535226946417967
"Q6PGS5",0.407181061993519
"Q3EAR7",0.440870638772544
"Q9SCQ2",0.442687488947593
"O42936",0.42301039395811
"P05102",0.47513143170839
"Q3UIR3",0.461590203604576
"Q58CU3",0.506266394575967
"Q29RU9",0.577313420328527
"Q3UDW8",0.60001120364636
"Q9VCE1",0.511120584161533
"Q07949",0.482661559593986
"O08796",0.525695271926224
"P38661",0.637112186845513
"Q55C58",0.471709385094233
"Q8C627",0.512870711107266
"P36404",0.51614654175635
"Q9FKI4",0.485570494833168
"A9UQ62",0.506793826799164
"P35187",0.604943927712992
"Q8VHI3",0.58587039191811
"Q8NI36",0.513159008739954
"Q8W586",0.522504615539704
"Q5ZKF6",0.498737158303773
"Q0IGK1",0.568924687602388
"Q8VZJ7",0.512066906776722
"B6SHG7",0.522001101896692
"Q5E9H5",0.541718809160138
"P34024",0.549078862353244
"E2QV03",0.576993798902168
"A0A1B4XBG9",0.560065664176151
"Q9M076",0.641755559607949
"F4KIB2",0.616231441783848
"Q9P2E3",0.642117195328412
"Q93YS4",0.610489955933654
"O60285",0.678243827899417
"P28774",0.637401869644163
"Q6DER6",0.689905863190019
"P21439",0.616075402771751
"Q13237",0.632135138217862
"Q17JQ7",0.696305177230752
"P43510",0.576774754857518
"Q26678",0.657334438014873
"Q9UTK2",0.603066268675073
"Q9UK39",0.662906497613624
"Q7Z4T9",0.66406634477626
"Q8BG09",0.532199317020352
"Q09172",0.556999560123603
"O04425",0.672034051561752
"Q54P13",0.698870084397528
"P24203",0.590025090644138
"Q0JIL1",0.645658775710905
"Q8KRU5",0.576682261162936
"P31060",0.562184906414452
"Q9LXF8",0.610776398750917
"Q86VQ6",0.588675331539066
"Q9P7Q1",0.67839051775093
"Q9SF40",0.604028036395244
"Q15392",0.667502574396077
"A0PJX2",0.647376717567791
"A4IG53",0.700995640381555
"Q86AV5",0.620474291239509
"Q9LEW8",0.595413906178573
"Q9VKV8",0.5999154736838
"Q8QZR1",0.561783946574491
"A0BLX0",0.582704351350933
"Q9NQ36",0.680034722784338
"Q7T2B9",0.618903868963801
"P75849",0.610314509217319
"Q8RAS5",0.618988999953599
"Q03442",0.6556600577993
"Q9ZT82",0.63773138862162
"W8JDE0",0.695280010837839
"P39665",0.703526073132167
"Q55BZ4",0.559549599832823
