"","pvalue"
"Q7RBT0",0.0049459562548633
"Q5UP50",0.016294249297056
"Q9SQH9",0.814144602567443
"Q90YS0",0.00562102298302725
"A5GFW1",0.020001909729529
"Q9F7P4",0.00458000539247674
"Q04462",0.00849599963068741
"A0T0T0",0.966278744372298
"P83205",0.00829554482373546
"O57483",0.984794472980337
"Q9STL4",0.0110998259427322
"O65729",0.937165026852639
"P14642",0.0592483041150272
"Q5F3T9",0.776997404477295
"P05434",0.981315681298918
"Q8VHE6",0.000234143539575356
"Q9MSC2",0.0787242746187736
"Q9P1Z3",0.859142891149663
"Q8VZW1",0.750889653066005
"O99252",0.0785324133627015
"Q91896",0.00811038860253195
"Q9BJZ5",0.791816046581313
"D9HP19",0.00552508085026587
"Q9SKC1",0.00596024476394185
"Q0WKV3",0.77076399573422
"Q02766",0.875698604538304
"P08548",0.0792409281417664
"Q9LSQ5",0.0121843534908687
"Q9LT78",0.0180493125490585
"Q54DK1",0.928488308547925
"A1Z9G2",0.86366319352166
"P0CT80",0.080376512302365
"Q6AUK5",0.936854192414003
"A0T097",0.0789930861194237
"Q55190",0.974690103801331
"Q9C514",0.0793989562968759
"Q653P0",0.948782888552913
"Q8I136",0.85336468444619
"P51427",0.981040778647781
"P94078",0.910767113599225
"P9WQC5",0.0788123606796226
"O65493",0.881952580013459
"P11139",0.0795570324315873
"P34313",0.849786772893346
"Q9DG39",0.0082079769767196
"Q9SBN3",0.0783016283648462
"Q9CPR4",0.0798486746087828
"P53041",0.872526897521649
"P55737",0.0801212805455149
"P9WQE6",0.905269218093218
"Q9C7E7",0.872658059334208
"Q05319",0.966353476589657
"Q4X251",0.926789898501935
"Q75K27",0.810467381416215
"A8AJF8",0.0782642632055416
"P93212",0.0784698590675507
"P24922",0.0785895751736322
"P07857",0.0792227569477333
"Q9STW6",0.0787782659924597
"Q84WN3",0.872754805756319
"P50532",0.738905170037415
"Q944H0",0.833285142344802
"Q9ZV15",0.953109984062943
"Q9ZU75",0.0166411003942741
"P12794",0.0781996846977933
"Q9M2F1",0.0812226141681989
"Q9FY94",0.78828894800926
"Q8MZS4",0.938226681898369
"P32321",0.00867583538648547
"P55786",0.75463075375086
"P53440",0.927675881955584
"Q3M6C3",0.964735141754192
"C5YUK3",0.826824055285623
"Q5NVB5",0.0787462757404837
"P62264",0.0797496119822793
"F1SYI9",0.0782649099072659
"Q3E9C0",0.673376338396241
"O17071",0.0781633876436526
"Q5NTH0",0.856006785924747
"P02402",0.0788851892218809
"Q9C554",0.0783764417333915
"P23398",0.931930488988871
"Q02TT1",0.0781709947954726
"Q3T0U2",0.909619113675062
"A8J1V4",0.965399435719844
"R4HZ96",0.81187997376209
"P0C7Q7",0.993014980698486
"Q8BIQ5",0.0781917043245769
"P41105",0.0800668045537284
"P09204",0.0819020762629373
"Q9SMI2",0.0828006210061335
"Q6BH13",0.0788936080066724
"Q58424",0.97322033281852
"Q0JI49",0.795800207989634
"Q8NDM7",0.869099078213277
"Q94KD8",0.795845544559174
"P39023",0.0781612211342878
"Q80YX1",0.0789592475957509
"B1XJS8",0.947065827644948
"Q8W036",0.896656519651727
