Tyrosinase_updated_protein_sequence,human_gene_name,human_gene_pfam,orthogroup,entry
Mcav_TRINITY_GG_20672_c1_g1_i1.p1,NP_000541.1,PF00264.24,OG0002314,P55023
Mcav_TRINITY_GG_20672_c1_g1_i1.p1,NP_000363.1,PF00264.24,OG0002314,P55023
Mcav_TRINITY_GG_20672_c1_g1_i1.p1,NP_001913.2,PF00264.24,OG0002314,P55023
