"","Entry","Entry.name","Gene.names","Protein.names","Gene.ontology..GO."
"1","Q9SQH9","AMT13_ARATH","AMT1-3 At3g24300 K7M2.7","Ammonium transporter 1 member 3 (AtAMT1;3)","integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; ammonium transmembrane transporter activity [GO:0008519]; ammonium transmembrane transport [GO:0072488]; ammonium transport [GO:0015696]; lateral root branching [GO:0080181]; lateral root formation [GO:0010311]"
"2","P05434","CATR_CHLRE","","Caltractin (20 kDa calcium-binding protein) (Centrin)","inner dynein arm [GO:0036156]; calcium ion binding [GO:0005509]; dynein heavy chain binding [GO:0045504]; cell cycle [GO:0007049]; cell division [GO:0051301]"
"3","P12794","BIP_PLAFA","","Endoplasmic reticulum chaperone BiP (EC 3.6.4.10) (78 kDa glucose-regulated protein homolog) (GRP-78 homolog) (Binding-immunoglobulin protein homolog) (BiP) (Fragment)","endoplasmic reticulum lumen [GO:0005788]; ATP binding [GO:0005524]; hydrolase activity [GO:0016787]"
"4","P62264","RS14_MOUSE","Rps14","40S ribosomal protein S14","cytosolic small ribosomal subunit [GO:0022627]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]; postsynaptic density [GO:0014069]; mRNA 5'-UTR binding [GO:0048027]; RNA binding [GO:0003723]; small ribosomal subunit rRNA binding [GO:0070181]; structural constituent of ribosome [GO:0003735]; translation regulator activity [GO:0045182]; erythrocyte differentiation [GO:0030218]; maturation of SSU-rRNA [GO:0030490]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; negative regulation of transcription by RNA polymerase II [GO:0000122]; ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412]"
"5","Q05319","STUB_DROME","Sb Sb-sbd CG4316","Serine proteinase stubble (EC 3.4.21.-) (Protein stubble-stubbloid) [Cleaved into: Serine proteinase stubble non-catalytic chain; Serine proteinase stubble catalytic chain]","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; serine-type endopeptidase activity [GO:0004252]; actin filament bundle assembly [GO:0051017]; cytoskeleton organization [GO:0007010]; proteolysis [GO:0006508]; wing disc development [GO:0035220]"
"6","Q9C7E7","RDM16_ARATH","RDM16 At1g28060 F13K9.16","Protein RDM16 (Pre-mRNA-splicing factor RDM16) (Protein RNA-directed DNA methylation 16)","nucleoplasm [GO:0005654]; U4/U6 x U5 tri-snRNP complex [GO:0046540]; embryo development ending in seed dormancy [GO:0009793]; mRNA processing [GO:0006397]; mRNA splicing, via spliceosome [GO:0000398]; regulation of DNA methylation [GO:0044030]"
"7","Q9C514","RS71_ARATH","RPS7A At1g48830 F11I4.1 T24P22.5","40S ribosomal protein S7-1","cell wall [GO:0005618]; cytosol [GO:0005829]; cytosolic ribosome [GO:0022626]; cytosolic small ribosomal subunit [GO:0022627]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; polysomal ribosome [GO:0042788]; small-subunit processome [GO:0032040]; mRNA binding [GO:0003729]; structural constituent of ribosome [GO:0003735]; ribosomal small subunit biogenesis [GO:0042274]; rRNA processing [GO:0006364]; translation [GO:0006412]"
"8","Q80YX1","TENA_MOUSE","Tnc Hxb","Tenascin (TN) (Hexabrachion) (Tenascin-C) (TN-C)","basement membrane [GO:0005604]; collagen-containing extracellular matrix [GO:0062023]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; interstitial matrix [GO:0005614]; perisynaptic extracellular matrix [GO:0098966]; fibronectin binding [GO:0001968]; syndecan binding [GO:0045545]; bud outgrowth involved in lung branching [GO:0060447]; cell adhesion [GO:0007155]; cellular response to prostaglandin D stimulus [GO:0071799]; cellular response to retinoic acid [GO:0071300]; cellular response to vitamin D [GO:0071305]; mesenchymal-epithelial cell signaling involved in prostate gland development [GO:0060739]; negative regulation of cell adhesion [GO:0007162]; neuromuscular junction development [GO:0007528]; neuron projection development [GO:0031175]; odontogenesis of dentin-containing tooth [GO:0042475]; peripheral nervous system axon regeneration [GO:0014012]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of gene expression [GO:0010628]; prostate gland epithelium morphogenesis [GO:0060740]; response to ethanol [GO:0045471]; response to fibroblast growth factor [GO:0071774]; response to mechanical stimulus [GO:0009612]; wound healing [GO:0042060]"
"9","Q9DG39","SLXA_GLOHA","","Snaclec coagulation factor IX/factor X-binding protein subunit A (IX/X-bp subunit A) (Halyxin subunit A)","extracellular region [GO:0005576]; metal ion binding [GO:0046872]; toxin activity [GO:0090729]"
"10","P53440","CALMF_NAEGR","CAM1","Calmodulin, flagellar (CAM-1)","motile cilium [GO:0031514]; calcium ion binding [GO:0005509]; calcium-mediated signaling [GO:0019722]"
"11","P83205","CATB_SHEEP","CTSB","Cathepsin B (EC 3.4.22.1) (Cathepsin B1) [Cleaved into: Cathepsin B light chain; Cathepsin B heavy chain]","apical plasma membrane [GO:0016324]; external side of plasma membrane [GO:0009897]; extracellular space [GO:0005615]; lysosome [GO:0005764]; melanosome [GO:0042470]; nucleolus [GO:0005730]; perinuclear region of cytoplasm [GO:0048471]; collagen binding [GO:0005518]; cysteine-type endopeptidase activity [GO:0004197]; endopeptidase activity [GO:0004175]; proteoglycan binding [GO:0043394]; cellular response to thyroid hormone stimulus [GO:0097067]; collagen catabolic process [GO:0030574]; decidualization [GO:0046697]; epithelial cell differentiation [GO:0030855]; proteolysis involved in cellular protein catabolic process [GO:0051603]; regulation of catalytic activity [GO:0050790]; thyroid hormone generation [GO:0006590]; viral entry into host cell [GO:0046718]"
"12","Q94KD8","BXL2_ARATH","BXL2 At1g02640 T14P4.11 T14P4.8","Probable beta-D-xylosidase 2 (AtBXL2) (EC 3.2.1.-)","extracellular region [GO:0005576]; plant-type cell wall [GO:0009505]; alpha-L-arabinofuranosidase activity [GO:0046556]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; xylan 1,4-beta-xylosidase activity [GO:0009044]; arabinan catabolic process [GO:0031222]; xylan catabolic process [GO:0045493]"
"13","O57483","CAC1S_LITCT","","Voltage-dependent L-type calcium channel subunit alpha-1S (FGalpha1S) (Voltage-gated calcium channel subunit alpha Cav1.1)","voltage-gated calcium channel complex [GO:0005891]; metal ion binding [GO:0046872]; voltage-gated calcium channel activity [GO:0005245]; regulation of ion transmembrane transport [GO:0034765]"
