"human_gene_name","human_gene_pfam","mcav_gene_name"
"NP_000128.1","PF01557.22","Mcav_TRINITY_GG_22089_c5_g1_i1.p1"
"NP_000128.1","PF01557.22","Mcav_TRINITY_GG_33690_c11_g1_i1.p1"
"NP_000128.1","PF01557.22","Mcav_TRINITY_GG_33690_c14_g1_i1.p1"
"NP_000128.1","PF01557.22","Mcav_TRINITY_GG_26364_c22_g2_i1.p1"
"NP_000128.1","PF09298.15","Mcav_TRINITY_GG_34983_c6_g1_i1.p1"
"NP_000178.2","PF04209.17","Mcav_TRINITY_GG_37459_c12_g2_i1.p1"
"NP_000178.2","PF04209.17","Mcav_TRINITY_GG_43308_c14_g1_i1.p2"
"NP_000178.2","PF20510.2","Mcav_TRINITY_GG_37459_c12_g2_i1.p1"
"NP_000231.1","PF01262.25","Mcav_TRINITY_GG_33721_c11_g1_i3.p1"
"NP_000231.1","PF01262.25","Mcav_TRINITY_GG_33721_c11_g1_i2.p1"
"NP_000231.1","PF01262.25","Mcav_TRINITY_GG_42932_c1_g1_i2.p1"
"NP_000231.1","PF01262.25","Mcav_TRINITY_GG_38186_c10_g1_i1.p1"
"NP_000231.1","PF01262.25","Mcav_TRINITY_GG_52430_c4_g1_i1.p1"
"NP_000231.1","PF01262.25","Mcav_TRINITY_GG_50861_c1_g1_i3.p2"
"NP_000231.1","PF01262.25","Mcav_TRINITY_GG_36221_c7_g1_i3.p1"
"NP_000231.1","PF01262.25","Mcav_TRINITY_GG_50861_c1_g1_i2.p1"
"NP_000231.1","PF01262.25","Mcav_TRINITY_GG_7948_c1_g1_i1.p1"
"NP_000231.1","PF01262.25","Mcav_TRINITY_GG_29678_c0_g1_i1.p1"
"NP_000231.1","PF01262.25","Mcav_TRINITY_GG_23130_c19_g1_i1.p1"
"NP_000231.1","PF01262.25","Mcav_TRINITY_GG_23130_c19_g1_i2.p1"
"NP_000231.1","PF01262.25","Mcav_TRINITY_GG_61048_c43_g1_i6.p1"
"NP_000231.1","PF01262.25","Mcav_TRINITY_GG_30868_c0_g1_i2.p1"
"NP_000231.1","PF01262.25","Mcav_TRINITY_GG_33820_c2_g1_i1.p1"
"NP_000231.1","PF01262.25","Mcav_TRINITY_GG_41323_c3_g1_i2.p1"
"NP_000231.1","PF01262.25","Mcav_TRINITY_GG_30868_c0_g1_i1.p1"
"NP_000231.1","PF01262.25","Mcav_TRINITY_GG_23021_c87_g2_i1.p1"
"NP_000231.1","PF01262.25","Mcav_TRINITY_GG_43065_c15_g1_i2.p1"
"NP_000231.1","PF01262.25","Mcav_TRINITY_GG_11321_c0_g1_i1.p2"
"NP_000231.1","PF01262.25","Mcav_TRINITY_GG_28648_c5_g1_i1.p1"
"NP_000231.1","PF01262.25","Mcav_TRINITY_GG_61048_c43_g1_i3.p1"
"NP_000231.1","PF01262.25","Mcav_TRINITY_GG_56861_c0_g1_i1.p1"
"NP_000231.1","PF01262.25","Mcav_TRINITY_GG_56861_c0_g1_i3.p1"
"NP_000231.1","PF01262.25","Mcav_TRINITY_GG_51743_c0_g1_i1.p1"
"NP_000231.1","PF01262.25","Mcav_TRINITY_GG_5924_c12_g1_i2.p1"
"NP_000231.1","PF01262.25","Mcav_TRINITY_GG_41323_c3_g1_i4.p1"
"NP_000231.1","PF01262.25","Mcav_TRINITY_GG_33132_c26_g1_i1.p1"
"NP_000231.1","PF01262.25","Mcav_TRINITY_GG_56870_c8_g1_i1.p1"
"NP_000231.1","PF01262.25","Mcav_TRINITY_GG_43001_c10_g1_i1.p1"
"NP_000231.1","PF01262.25","Mcav_TRINITY_GG_14834_c7_g1_i1.p1"
"NP_000231.1","PF01262.25","Mcav_TRINITY_GG_45339_c7_g1_i1.p1"
"NP_000231.1","PF01262.25","Mcav_TRINITY_GG_489_c114_g1_i1.p1"
"NP_000231.1","PF01262.25","Mcav_TRINITY_GG_29160_c2_g1_i1.p1"
"NP_000231.1","PF01262.25","Mcav_TRINITY_GG_54611_c10_g1_i2.p1"
"NP_000231.1","PF01262.25","Mcav_TRINITY_GG_24462_c8_g1_i1.p1"
"NP_000231.1","PF01262.25","Mcav_TRINITY_GG_24462_c8_g1_i2.p1"
"NP_000231.1","PF01262.25","Mcav_TRINITY_GG_47390_c9_g1_i1.p1"
"NP_000231.1","PF01262.25","Mcav_TRINITY_GG_45026_c4_g1_i1.p2"
"NP_000231.1","PF01262.25","Mcav_TRINITY_GG_49257_c1_g1_i1.p1"
"NP_000231.1","PF01262.25","Mcav_TRINITY_GG_54164_c12_g1_i2.p2"
"NP_000231.1","PF01262.25","Mcav_TRINITY_GG_38718_c7_g1_i1.p1"
"NP_000231.1","PF01262.25","Mcav_TRINITY_GG_45929_c5_g1_i1.p1"
"NP_000231.1","PF01262.25","Mcav_TRINITY_GG_61628_c1_g1_i1.p1"
"NP_000231.1","PF01262.25","Mcav_TRINITY_GG_47390_c9_g1_i2.p1"
"NP_000231.1","PF01262.25","Mcav_TRINITY_GG_38729_c1_g1_i3.p1"
"NP_000231.1","PF01262.25","Mcav_TRINITY_GG_52282_c20_g1_i2.p1"
"NP_000231.1","PF01262.25","Mcav_TRINITY_GG_52282_c20_g1_i1.p1"
"NP_000231.1","PF01593.28","Mcav_TRINITY_GG_7948_c1_g1_i1.p1"
"NP_000231.1","PF01593.28","Mcav_TRINITY_GG_43065_c15_g1_i2.p1"
"NP_000231.1","PF01593.28","Mcav_TRINITY_GG_11321_c0_g1_i1.p2"
"NP_000231.1","PF01593.28","Mcav_TRINITY_GG_4957_c2_g1_i1.p1"
"NP_000231.1","PF01593.28","Mcav_TRINITY_GG_29693_c1_g1_i1.p1"
"NP_000231.1","PF01593.28","Mcav_TRINITY_GG_61628_c1_g1_i1.p1"
"NP_000231.1","PF01593.28","Mcav_TRINITY_GG_56870_c8_g1_i1.p1"
"NP_000231.1","PF01593.28","Mcav_TRINITY_GG_36218_c2_g1_i1.p1"
"NP_000231.1","PF01593.28","Mcav_TRINITY_GG_61048_c43_g1_i3.p1"
"NP_000231.1","PF01593.28","Mcav_TRINITY_GG_38729_c1_g1_i2.p1"
"NP_000231.1","PF01593.28","Mcav_TRINITY_GG_14641_c0_g2_i5.p1"
"NP_000231.1","PF01593.28","Mcav_TRINITY_GG_30868_c0_g1_i1.p1"
"NP_000231.1","PF01593.28","Mcav_TRINITY_GG_33820_c1_g1_i1.p1"
"NP_000231.1","PF01593.28","Mcav_TRINITY_GG_14651_c9_g2_i1.p1"
"NP_000231.1","PF01593.28","Mcav_TRINITY_GG_36221_c7_g1_i3.p1"
"NP_000231.1","PF01593.28","Mcav_TRINITY_GG_30862_c0_g1_i1.p1"
"NP_000231.1","PF01593.28","Mcav_TRINITY_GG_61048_c43_g1_i6.p1"
"NP_000231.1","PF01593.28","Mcav_TRINITY_GG_33804_c0_g1_i1.p1"
"NP_000231.1","PF01593.28","Mcav_TRINITY_GG_45972_c0_g1_i1.p1"
"NP_000231.1","PF01593.28","Mcav_TRINITY_GG_56861_c0_g1_i3.p1"
"NP_000231.1","PF01593.28","Mcav_TRINITY_GG_49263_c0_g1_i1.p1"
"NP_000231.1","PF01593.28","Mcav_TRINITY_GG_6747_c0_g1_i1.p1"
"NP_000231.1","PF01593.28","Mcav_TRINITY_GG_29678_c0_g1_i1.p1"
"NP_000231.1","PF01593.28","Mcav_TRINITY_GG_33820_c2_g1_i1.p1"
"NP_000231.1","PF01593.28","Mcav_TRINITY_GG_56861_c0_g1_i1.p2"
"NP_000231.1","PF01593.28","Mcav_TRINITY_GG_56861_c0_g1_i1.p1"
"NP_000231.1","PF01593.28","Mcav_TRINITY_GG_30868_c0_g1_i2.p1"
"NP_000231.1","PF01593.28","Mcav_TRINITY_GG_14921_c4_g1_i1.p1"
"NP_000231.1","PF01593.28","Mcav_TRINITY_GG_61048_c43_g4_i1.p1"
"NP_000231.1","PF01593.28","Mcav_TRINITY_GG_49257_c1_g1_i1.p1"
"NP_000231.1","PF01593.28","Mcav_TRINITY_GG_49262_c7_g1_i1.p1"
"NP_000231.1","PF01593.28","Mcav_TRINITY_GG_17277_c5_g1_i1.p1"
