"","Entry","Entry.name","Gene.names","Protein.names","Gene.ontology..GO."
"1","Q55C58","VPS16_DICDI","vps16 DDB_G0270754","Vacuolar protein sorting-associated protein 16 homolog","actin cytoskeleton [GO:0015629]; endosome [GO:0005768]; endosome membrane [GO:0010008]; HOPS complex [GO:0030897]; actin binding [GO:0003779]; endosomal transport [GO:0016197]; intracellular protein transport [GO:0006886]; regulation of SNARE complex assembly [GO:0035542]; regulation of vacuole fusion, non-autophagic [GO:0032889]; vacuole fusion, non-autophagic [GO:0042144]; vesicle-mediated transport [GO:0016192]"
"2","Q8W586","QQT2_ARATH","QQT2 quatre-quart2 At4g21800 F17L22.260 T8O5.10","GPN-loop GTPase QQT2 (EC 3.6.5.-) (Protein QUATRE QUART 2)","microtubule [GO:0005874]; nucleus [GO:0005634]; phragmoplast [GO:0009524]; spindle [GO:0005819]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; cell division [GO:0051301]; embryo development ending in seed dormancy [GO:0009793]"
"3","Q5EA24","RIOX2_BOVIN","RIOX2 MINA","Ribosomal oxygenase 2 (Bifunctional lysine-specific demethylase and histidyl-hydroxylase MINA) (EC 1.14.11.-) (Histone lysine demethylase MINA) (MYC-induced nuclear antigen)","nucleolus [GO:0005730]; histone demethylase activity (H3-K36 specific) [GO:0051864]; histone demethylase activity (H3-K4 specific) [GO:0032453]; metal ion binding [GO:0046872]; ribosome biogenesis [GO:0042254]"
"4","Q5JK84","RH15_ORYSJ","AIP2 Os01g0550000 LOC_Os01g36920 B1156H12.21-1 OSJNBa0024F24.6-1","DEAD-box ATP-dependent RNA helicase 15 (EC 3.6.4.13) (API5-interacting protein 1)","nucleus [GO:0005634]; ATP binding [GO:0005524]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]; anther development [GO:0048653]; pollen development [GO:0009555]"
"5","Q86VQ6","TRXR3_HUMAN","TXNRD3 TGR TRXR3","Thioredoxin reductase 3 (EC 1.8.1.9) (Thioredoxin and glutathione reductase) (Thioredoxin reductase TR2)","cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; nucleoplasm [GO:0005654]; electron transfer activity [GO:0009055]; flavin adenine dinucleotide binding [GO:0050660]; protein disulfide oxidoreductase activity [GO:0015035]; thioredoxin-disulfide reductase activity [GO:0004791]; cell differentiation [GO:0030154]; cell redox homeostasis [GO:0045454]; multicellular organism development [GO:0007275]; spermatogenesis [GO:0007283]"
"6","Q9NQ36","SCUB2_HUMAN","SCUBE2 CEGP1","Signal peptide, CUB and EGF-like domain-containing protein 2 (Protein CEGP1) (Scube/You)","cell surface [GO:0009986]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; calcium ion binding [GO:0005509]; lipid binding [GO:0008289]; multicellular organism development [GO:0007275]"
"7","E2QV03","TPPC2_CANLF","TRAPPC2","Trafficking protein particle complex subunit 2","cytoplasm [GO:0005737]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; TRAPP complex [GO:0030008]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]"
"8","Q54P13","ABCC8_DICDI","abcC8 DDB_G0284867","ABC transporter C family member 8 (ABC transporter ABCC.8)","integral component of membrane [GO:0016021]; membrane [GO:0016020]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; ATPase-coupled transmembrane transporter activity [GO:0042626]; culmination involved in sorocarp development [GO:0031154]; sorocarp morphogenesis [GO:0031288]; transmembrane transport [GO:0055085]"
"9","Q9ZT82","CALSC_ARATH","CALS12 GSL5 PMR4 At4g03550 F9H3.18 T5L23.4","Callose synthase 12 (EC 2.4.1.34) (1,3-beta-glucan synthase) (Protein GLUCAN SYNTHASE-LIKE 5) (Protein POWDERY MILDEW RESISTANT 4)","1,3-beta-D-glucan synthase complex [GO:0000148]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; plasmodesma [GO:0009506]; 1,3-beta-D-glucan synthase activity [GO:0003843]; glucosyltransferase activity [GO:0046527]; (1->3)-beta-D-glucan biosynthetic process [GO:0006075]; defense response [GO:0006952]; defense response by callose deposition [GO:0052542]; defense response by callose deposition in cell wall [GO:0052544]; defense response signaling pathway, resistance gene-dependent [GO:0009870]; defense response to bacterium [GO:0042742]; defense response to fungus [GO:0050832]; leaf morphogenesis [GO:0009965]; leaf senescence [GO:0010150]; pollen development [GO:0009555]; regulation of cell shape [GO:0008360]; reproduction [GO:0000003]; response to fungus [GO:0009620]; salicylic acid mediated signaling pathway [GO:0009863]"
"10","Q41005","CBPX_PEA","","Serine carboxypeptidase-like (EC 3.4.16.-) (Fragment)","serine-type carboxypeptidase activity [GO:0004185]"
