"","Entry","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Entry.name","Gene.names","Protein.names","Gene.ontology..GO.","USVI_118_A","UVI_092_B","UVI_094_B","UVI_096_B","UVI_108_B","UVI_132_B","UVI_092_C","UVI_094_C","UVI_100_C","UVI_102_C","UVI_104_C","UVI_106_C","UVI_108_C","UVI_132_C","UVI_136_C","UVI_138_C","UVI_106_D","Past_d1_A","Past_d2_A","Past_d3_A","Past_d6_A","Past_d7_A","O_d3_B","O_d6_B","O_d7_B","O_d8_B","Pstr_d7_B","M_d1_C","M_d3_C","M_d6_C","O_d1_C","O_d3_C","O_d6_C","O_d7_C","O_d8_C","Past_d1_D"
"1","A0A0H2VDN9",64.2044770449627,2.94107301963227,0.671292937822883,4.38120655517495,1.18023917783906e-05,0.000514335810131968,"ESIB_ECOL6","esiB c5321","Secretory immunoglobulin A-binding protein EsiB","cell surface [GO:0009986]; IgA binding [GO:0019862]; metal ion binding [GO:0046872]; negative regulation of immune response [GO:0050777]; negative regulation of neutrophil activation [GO:1902564]; pathogenesis [GO:0009405]",5.400466756,8.430771983,8.332702349,7.737563366,8.684791874,8.745393736,5.607162818,4.470155169,5.03189655,4.4244707,4.384456191,4.436025944,4.345635051,5.178053418,5.405808659,5.516362875,5.628161483,5.10333322,5.519676101,5.62831185,4.727188447,6.781837636,3.908906198,3.908906198,3.908906198,3.908906198,8.915240918,4.348446762,4.322081766,4.081369732,4.261350447,4.217508156,4.20928645,4.133229457,4.228386351,3.908906198
"2","A0A4Y1YTM1",61246.3302985476,-2.49492850559242,0.785238001153256,-3.17728956307284,0.00148658529657303,0.0192326972744136,"PSBO_CHAMQ","","Oxygen-evolving enhancer protein 1, chloroplastic (OEE1)","chloroplast thylakoid membrane [GO:0009535]; integral component of membrane [GO:0016021]; photosystem II oxygen evolving complex [GO:0009654]; oxidation-reduction process [GO:0055114]; photosystem II assembly [GO:0010207]; photosystem II stabilization [GO:0042549]",9.879231539,10.90076819,10.74812694,9.881347133,10.52140908,10.91308683,9.11348474,8.709302331,8.296987932,8.548995565,8.914309552,8.123540137,8.208578932,8.514047356,8.547913271,9.02306231,10.06732543,10.01223012,10.38626767,9.988377703,10.46113985,10.86706956,17.99093568,19.91948953,19.17526708,18.35482077,10.89134432,8.230571451,8.011027064,8.49251426,9.50523505,9.400868835,9.139981851,9.471469317,8.524047199,3.908906198
"3","A0JMG9",35.0572138526889,1.93349157381822,0.664581866644192,2.90933543459647,0.003621980162712,0.0351170910389407,"S35A4_DANRE","slc35a4 zgc:153507","Probable UDP-sugar transporter protein SLC35A4 (Solute carrier family 35 member A4)","Golgi apparatus [GO:0005794]; integral component of Golgi membrane [GO:0030173]; pyrimidine nucleotide-sugar transmembrane transporter activity [GO:0015165]; carbohydrate transport [GO:0008643]",6.405602469,7.540089102,7.342280942,6.78740894,7.875185991,3.908906198,4.521020135,4.368118271,3.908906198,4.274429886,4.297773134,4.232817534,4.087766985,5.816477467,5.691778032,5.755884885,4.645052889,6.501361654,6.519665612,6.444912159,6.307417498,6.898594936,3.908906198,3.908906198,3.908906198,3.908906198,7.708864241,4.905524576,4.805857788,4.734154911,4.12506818,3.908906198,4.031720457,4.067606506,4.118298825,3.908906198
"4","A0JPI9",29.3270187947766,1.82734145001146,0.57653783981207,3.16950826784779,0.00152697113853295,0.0195717043762428,"LR74A_RAT","Lrrc74a Lrrc74","Leucine-rich repeat-containing protein 74A (Leucine-rich repeat-containing protein 74)","",7.044010467,6.349638868,6.463059029,6.553114164,7.190231441,3.908906198,3.908906198,4.759280709,3.908906198,4.330603587,4.184291521,4.173563276,4.161692082,4.771331821,4.730316377,4.813654844,4.645052889,7.006831069,7.055984493,6.996840104,6.573128635,7.353862054,3.908906198,3.908906198,3.908906198,3.908906198,7.147237095,4.348446762,4.333323841,4.207267713,4.033785159,4.035092523,4.031720457,4.092126782,4.118298825,3.908906198
"5","A1WX30",33.1752914250107,1.8793453234503,0.555100408395787,3.38559528154828,0.000710240478950081,0.0114412279488457,"DNAJ_HALHL","dnaJ Hhal_1475","Chaperone protein DnaJ","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; heat shock protein binding [GO:0031072]; unfolded protein binding [GO:0051082]; zinc ion binding [GO:0008270]; DNA replication [GO:0006260]; protein folding [GO:0006457]; response to heat [GO:0009408]",6.538906403,7.478269318,7.314783409,6.742606286,5.790555878,7.002190168,3.908906198,4.869326437,4.629694669,4.634246771,4.631051288,4.497438226,4.442780855,4.679253768,4.853300012,4.813654844,6.306438524,6.11383483,6.519665612,6.5083088,5.319337025,7.270368072,3.908906198,3.908906198,3.908906198,3.908906198,8.027536845,4.120682044,4.104196213,4.312294583,4.282614363,4.161038313,4.276465351,4.167845696,4.100082555,3.908906198
"6","A2ASS6",60.9765790526357,1.23319830179595,0.394575944773975,3.12537628846676,0.0017757774533452,0.0213093294401424,"TITIN_MOUSE","Ttn","Titin (EC 2.7.11.1) (Connectin)","A band [GO:0031672]; condensed nuclear chromosome [GO:0000794]; I band [GO:0031674]; M band [GO:0031430]; muscle myosin complex [GO:0005859]; myofibril [GO:0030016]; sarcomere [GO:0030017]; striated muscle thin filament [GO:0005865]; Z disc [GO:0030018]; actin filament binding [GO:0051015]; actinin binding [GO:0042805]; ankyrin binding [GO:0030506]; ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; calmodulin binding [GO:0005516]; enzyme binding [GO:0019899]; identical protein binding [GO:0042802]; muscle alpha-actinin binding [GO:0051371]; protease binding [GO:0002020]; protein kinase binding [GO:0019901]; protein self-association [GO:0043621]; protein serine/threonine kinase activity [GO:0004674]; protein tyrosine kinase activity [GO:0004713]; structural constituent of cytoskeleton [GO:0005200]; structural constituent of muscle [GO:0008307]; structural molecule activity conferring elasticity [GO:0097493]; telethonin binding [GO:0031433]; adult heart development [GO:0007512]; cardiac muscle contraction [GO:0060048]; cardiac muscle fiber development [GO:0048739]; cardiac muscle hypertrophy [GO:0003300]; cardiac muscle tissue morphogenesis [GO:0055008]; cardiac myofibril assembly [GO:0055003]; detection of muscle stretch [GO:0035995]; forward locomotion [GO:0043056]; heart development [GO:0007507]; heart growth [GO:0060419]; heart morphogenesis [GO:0003007]; in utero embryonic development [GO:0001701]; muscle contraction [GO:0006936]; positive regulation of gene expression [GO:0010628]; positive regulation of protein secretion [GO:0050714]; protein kinase A signaling [GO:0010737]; regulation of catalytic activity [GO:0050790]; regulation of protein kinase activity [GO:0045859]; regulation of relaxation of cardiac muscle [GO:1901897]; response to calcium ion [GO:0051592]; sarcomere organization [GO:0045214]; sarcomerogenesis [GO:0048769]; skeletal muscle myosin thick filament assembly [GO:0030241]; skeletal muscle thin filament assembly [GO:0030240]; somitogenesis [GO:0001756]; striated muscle cell development [GO:0055002]; ventricular system development [GO:0021591]",6.764838749,8.115555338,7.803425566,8.074671187,7.456871385,3.908906198,5.513808496,5.011467693,5.824924609,6.325946783,5.797803423,5.945097175,5.942797059,4.741889018,4.387383246,4.779218273,6.95582988,6.640782112,6.985263269,7.01679857,6.047010274,6.985447409,3.908906198,3.908906198,3.908906198,3.908906198,9.0891617,4.46624342,4.385462813,4.379410428,4.564260641,4.761797493,5.035759564,4.77053717,4.995323441,3.908906198
"7","A2VDR2",21.5498319376757,5.40945883831697,0.923223647931179,5.85931572532706,4.64778308818512e-09,8.01742582711934e-07,"ACBD6_BOVIN","ACBD6","Acyl-CoA-binding domain-containing protein 6","cytoplasm [GO:0005737]; fatty-acyl-CoA binding [GO:0000062]; lipid binding [GO:0008289]",5.708747946,7.48726685,7.52115544,6.637531879,6.861203037,3.908906198,5.813066034,5.463079312,4.421202263,4.465293009,4.297773134,4.650333391,4.087766985,4.071363987,4.280208284,3.908906198,5.861277563,5.282036563,5.580581607,5.488849968,4.854658119,6.061210666,3.908906198,3.908906198,3.908906198,3.908906198,6.853535605,3.908906198,3.908906198,3.908906198,3.908906198,3.99814762,3.908906198,3.908906198,4.057034064,3.908906198
"8","A2XQE8",231.396549472987,6.91838634393085,0.687205038519402,10.0674266865631,7.69654476010659e-24,1.06212317689471e-20,"SAG39_ORYSI","OsI_14861","Senescence-specific cysteine protease SAG39 (EC 3.4.22.-) (Cysteine proteinase SAG39) (Protein SENESCENCE-ASSOCIATED GENE 39)","senescence-associated vacuole [GO:0010282]; cysteine-type peptidase activity [GO:0008234]; aging [GO:0007568]; leaf senescence [GO:0010150]; programmed cell death involved in cell development [GO:0010623]; response to abscisic acid [GO:0009737]; response to ethylene [GO:0009723]; response to gibberellin [GO:0009739]",3.908906198,10.60491029,10.63557699,10.04466229,10.60545347,8.36235624,6.785846952,6.842853668,7.444711793,7.389248778,7.752517927,7.210919373,7.336010277,7.38805848,7.446938062,7.705875138,6.907882858,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,8.124197463,8.402513855,7.422106279,7.056335454,7.322386822,4.158430969,3.99814762,4.082539425,4.067606506,3.994452899,3.908906198
"9","A5D0W6",19.810554476764,2.53052054206389,0.835278253301734,3.0295539624803,0.00244915146784387,0.0267747945640225,"MUTS2_PELTS","mutS2 PTH_1939","Endonuclease MutS2 (EC 3.1.-.-)","ATP binding [GO:0005524]; ATPase activity [GO:0016887]; endonuclease activity [GO:0004519]; mismatched DNA binding [GO:0030983]; mismatch repair [GO:0006298]; negative regulation of DNA recombination [GO:0045910]",3.908906198,6.838822755,7.24360985,6.593155024,6.861203037,3.908906198,4.655854658,4.555646156,6.471653938,6.124852857,6.310170396,5.919604185,6.135297348,4.071363987,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,3.908906198,7.03701449,4.031248184,4.217334932,3.908906198,4.187796773,4.161038313,4.059299649,3.908906198,4.135043081,3.908906198
"10","A6QP05",19.4123401082194,2.4464430408958,0.740824974728249,3.30232257868089,0.000958877274124453,0.0141272310137909,"DHR12_BOVIN","DHRS12 SDR40C1","Dehydrogenase/reductase SDR family member 12 (EC 1.1.-.-) (Short-chain dehydrogenase/reductase family 40C member 1)","oxidoreductase activity [GO:0016491]",5.900790993,7.16661515,7.447233563,6.840277039,5.790555878,3.908906198,4.343346651,4.555646156,3.908906198,3.908906198,4.184291521,4.096178023,4.218307335,4.366725634,4.337258043,4.779218273,6.306438524,5.427237991,5.685426474,5.736129805,5.173543521,6.061210666,3.908906198,3.908906198,3.908906198,3.908906198,6.91740482,4.425352903,4.458364752,4.181352367,4.187796773,3.908906198,4.082539425,3.908906198,3.908906198,3.908906198
