"","Entry","Entry.name","Gene.names","Protein.names","Gene.ontology..GO."
"1","P04919","B3AT_MOUSE","Slc4a1 Ae1","Band 3 anion transport protein (Anion exchange protein 1) (AE 1) (Anion exchanger 1) (MEB3) (Solute carrier family 4 member 1) (CD antigen CD233)","basolateral plasma membrane [GO:0016323]; cell surface [GO:0009986]; cortical cytoskeleton [GO:0030863]; cytoplasmic side of plasma membrane [GO:0009898]; integral component of plasma membrane [GO:0005887]; intercalated disc [GO:0014704]; membrane [GO:0016020]; plasma membrane [GO:0005886]; Z disc [GO:0030018]; actin binding [GO:0003779]; anion:anion antiporter activity [GO:0015301]; ankyrin binding [GO:0030506]; bicarbonate transmembrane transporter activity [GO:0015106]; chloride transmembrane transporter activity [GO:0015108]; enzyme binding [GO:0019899]; hemoglobin binding [GO:0030492]; inorganic anion exchanger activity [GO:0005452]; protein C-terminus binding [GO:0008022]; protein homodimerization activity [GO:0042803]; protein-containing complex binding [GO:0044877]; anion transport [GO:0006820]; bicarbonate transport [GO:0015701]; blood coagulation [GO:0007596]; chloride transport [GO:0006821]; erythrocyte development [GO:0048821]; negative regulation of glycolytic process through fructose-6-phosphate [GO:1904539]; negative regulation of oxidoreductase activity [GO:0051354]; negative regulation of urine volume [GO:0035811]; pH elevation [GO:0045852]; plasma membrane phospholipid scrambling [GO:0017121]; positive regulation of T cell proliferation [GO:0042102]; protein localization to plasma membrane [GO:0072659]; regulation of intracellular pH [GO:0051453]; response to activity [GO:0014823]; response to arsenic-containing substance [GO:0046685]; response to carbon dioxide [GO:0010037]; response to hydrogen peroxide [GO:0042542]"
"2","Q5JK84","RH15_ORYSJ","AIP2 Os01g0550000 LOC_Os01g36920 B1156H12.21-1 OSJNBa0024F24.6-1","DEAD-box ATP-dependent RNA helicase 15 (EC 3.6.4.13) (API5-interacting protein 1)","nucleus [GO:0005634]; ATP binding [GO:0005524]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]; anther development [GO:0048653]; pollen development [GO:0009555]"
"3","P35600","RFC1_DROME","Gnf1 CG1119","Replication factor C subunit 1 (Activator 1 140 kDa subunit) (Activator 1 subunit 1) (Germline transcription factor 1) (Replication factor C large subunit)","DNA replication factor C complex [GO:0005663]; nucleus [GO:0005634]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA clamp loader activity [GO:0003689]; dendrite morphogenesis [GO:0048813]; DNA repair [GO:0006281]; DNA replication [GO:0006260]"
"4","Q9SIP7","RS31_ARATH","RPS3A At2g31610 T9H9.13","40S ribosomal protein S3-1","chloroplast [GO:0009507]; cytosol [GO:0005829]; cytosolic ribosome [GO:0022626]; cytosolic small ribosomal subunit [GO:0022627]; nucleus [GO:0005634]; peroxisome [GO:0005777]; plasmodesma [GO:0009506]; vacuolar membrane [GO:0005774]; vacuole [GO:0005773]; mRNA binding [GO:0003729]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]"
"5","Q9ZT82","CALSC_ARATH","CALS12 GSL5 PMR4 At4g03550 F9H3.18 T5L23.4","Callose synthase 12 (EC 2.4.1.34) (1,3-beta-glucan synthase) (Protein GLUCAN SYNTHASE-LIKE 5) (Protein POWDERY MILDEW RESISTANT 4)","1,3-beta-D-glucan synthase complex [GO:0000148]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; plasmodesma [GO:0009506]; 1,3-beta-D-glucan synthase activity [GO:0003843]; glucosyltransferase activity [GO:0046527]; (1->3)-beta-D-glucan biosynthetic process [GO:0006075]; defense response [GO:0006952]; defense response by callose deposition [GO:0052542]; defense response by callose deposition in cell wall [GO:0052544]; defense response signaling pathway, resistance gene-dependent [GO:0009870]; defense response to bacterium [GO:0042742]; defense response to fungus [GO:0050832]; leaf morphogenesis [GO:0009965]; leaf senescence [GO:0010150]; pollen development [GO:0009555]; regulation of cell shape [GO:0008360]; reproduction [GO:0000003]; response to fungus [GO:0009620]; salicylic acid mediated signaling pathway [GO:0009863]"
"6","Q93YS4","AB22G_ARATH","ABCG22 WBC23 At5g06530 F15M7.6","ABC transporter G family member 22 (ABC transporter ABCG.22) (AtABCG22) (White-brown complex homolog protein 23) (AtWBC23)","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; response to water deprivation [GO:0009414]; transpiration [GO:0010148]"
"7","Q9FVJ3","AGD12_ARATH","AGD12 ZAC At4g21160 F7J7.100","ADP-ribosylation factor GTPase-activating protein AGD12 (ARF GAP AGD12) (Protein ARF-GAP DOMAIN 12) (AtAGD12) (Zinc- and calcium-binding protein) (AtZAC)","Golgi apparatus [GO:0005794]; plasma membrane [GO:0005886]; vacuole [GO:0005773]; GTPase activator activity [GO:0005096]; metal ion binding [GO:0046872]; phospholipid binding [GO:0005543]; intracellular protein transport [GO:0006886]"
"8","Q9M7R0","ALL8_OLEEU","","Calcium-binding allergen Ole e 8 (PCA18/PCA23) (allergen Ole e 8)","calcium ion binding [GO:0005509]"
"9","O24174","BADH1_ORYSJ","BADH1 Os04g0464200 LOC_Os04g39020 OSJNBa0060P14.8","Betaine aldehyde dehydrogenase 1 (OsBADH1) (EC 1.2.1.8)","peroxisome [GO:0005777]; betaine-aldehyde dehydrogenase activity [GO:0008802]; cellular response to anoxia [GO:0071454]; glycine betaine biosynthetic process from choline [GO:0019285]"
"10","Q54LX0","CBPM_DICDI","cbpM DDB_G0286371","Calcium-binding protein M","phagocytic vesicle [GO:0045335]; calcium ion binding [GO:0005509]"
"11","O52025","ARSM_HALSA","arsM VNG_5177C","Arsenite methyltransferase (EC 2.1.1.137)","arsenite methyltransferase activity [GO:0030791]; methyltransferase activity [GO:0008168]; response to arsenic-containing substance [GO:0046685]"
